#mm10.knownGene.name	mm10.knownGene.chrom	mm10.knownGene.strand	mm10.knownGene.txStart	mm10.knownGene.txEnd	mm10.knownGene.cdsStart	mm10.knownGene.cdsEnd	mm10.knownGene.proteinID	mm10.knownGene.alignID	mm10.kgXref.geneSymbol
ENSMUST00000192531.5	chr1	-	39372295	39478661	39402919	39478566	A0A0A6YXU3	uc287hoe.1	Tbc1d8
ENSMUST00000193823.1	chr1	-	39373315	39478700	39373672	39478566	A0A0A6YWY1	uc007ath.3	Tbc1d8
ENSMUST00000054462.10	chr1	-	39371491	39478755	39372348	39478566	Q9Z1A9	uc007atg.5	Tbc1d8
ENSMUST00000195567.1	chr1	+	39540033	39545401	39540033	39545216	A0A0A6YW44	uc287hol.1	Cnot11
ENSMUST00000160145.1	chr1	+	39538244	39546483	39538244	39538244		uc287hok.1	Cnot11
ENSMUST00000003219.13	chr1	+	39535801	39546873	39535838	39545266	Q9CWN7	uc287hoj.1	Cnot11
ENSMUST00000161515.7	chr1	+	39534991	39546889	39535838	39545266	Q9CWN7	uc007ati.3	Cnot11
ENSMUST00000146314.1	chr1	-	39547569	39552002	39547569	39547569		uc007atk.2	Gm15832
ENSMUST00000153381.1	chr1	-	39555604	39558757	39555604	39555604		uc287hon.1	Rnf149
ENSMUST00000195705.1	chr1	-	39565092	39577303	39565317	39577274	A0A0A6YVR6	uc287hoo.1	Rnf149
ENSMUST00000195136.1	chr1	-	39552468	39577356	39555597	39565309	A0A0A6YWR9	uc287hom.1	Rnf149
ENSMUST00000062525.10	chr1	-	39551295	39577405	39552471	39577274	Q3U2C5	uc007atl.4	Rnf149
ENSMUST00000193661.1	chr1	+	39901169	39902456	39901169	39901169		uc287how.1	Map4k4
ENSMUST00000194163.1	chr1	+	39964849	39976746	39964849	39964849		uc287hpa.1	Map4k4
ENSMUST00000193514.6	chr1	+	39964154	39983144	39964154	39964154		uc287hoz.1	Map4k4
ENSMUST00000191761.5	chr1	+	39901169	39990278	39901229	39990278	A0A0A6YVZ8	uc287hox.1	Map4k4
ENSMUST00000195356.1	chr1	+	39999594	40000561	39999594	39999594		uc287hpb.1	Map4k4
ENSMUST00000191964.1	chr1	+	39999893	40004910	39999893	40004910	A0A0A6YVR7	uc287hpd.1	Map4k4
ENSMUST00000192355.5	chr1	+	39999892	40006742	39999892	40006742	A0A0A6YXE5	uc287hpc.1	Map4k4
ENSMUST00000192194.1	chr1	+	40007392	40009329	40007392	40007392		uc287hpf.1	Map4k4
ENSMUST00000191865.1	chr1	+	40000676	40010657	40000676	40010657	A0A0A6YWJ2	uc287hpe.1	Map4k4
ENSMUST00000192884.1	chr1	+	40013851	40014698	40013851	40013851		uc287hpg.1	Map4k4
ENSMUST00000191657.1	chr1	+	40023209	40024425	40023209	40023209		uc287hph.1	Map4k4
ENSMUST00000193682.5	chr1	+	39901178	40024754	39901229	40024712	B2RUE8	uc011wjw.2	Map4k4
ENSMUST00000195860.5	chr1	+	39901178	40024754	39901229	40024712	A0A0A6YW53	uc011wjv.2	Map4k4
ENSMUST00000195259.5	chr1	+	39901179	40024754	39901229	40024712	B7ZNR9	uc011wjx.2	Map4k4
ENSMUST00000192509.5	chr1	+	39901229	40024925	39901229	40024712	A0A0A6YWR8	uc007atr.2	Map4k4
ENSMUST00000195636.5	chr1	+	39901223	40024969	39901229	40024712	A0A0A6YWM8	uc287hoy.1	Map4k4
ENSMUST00000163854.8	chr1	+	39900912	40026310	39901229	40024712	E9PVG7	uc287hou.1	Map4k4
ENSMUST00000168431.6	chr1	+	39900912	40026310	39901229	40024712	F8VPL5	uc287hov.1	Map4k4
ENSMUST00000114765.3	chr1	+	40805600	40856887	40805755	40855016	B2RVY9	uc007auq.2	Tmem182
ENSMUST00000176977.7	chr1	-	42648199	42651679	42648199	42648199		uc287hqz.1	Pantr1
ENSMUST00000078844.7	chr1	-	42648377	42666912	42648377	42648377		uc287hrc.1	Pantr1
ENSMUST00000176154.2	chr1	-	42648198	42666991	42648198	42648198		uc287hqy.1	Pantr1
ENSMUST00000176052.7	chr1	-	42648200	42667672	42648200	42648200		uc007aur.2	Pantr1
ENSMUST00000186656.6	chr1	-	42648200	42693093	42648200	42648200		uc287hrb.1	Pantr1
ENSMUST00000181725.7	chr1	-	42648192	42693128	42648192	42648192		uc007aut.2	Pantr1
ENSMUST00000181593.7	chr1	-	42648199	42693153	42648199	42648199		uc007aus.2	Pantr1
ENSMUST00000181660.7	chr1	-	42590781	42694808	42590781	42590781		uc287hqx.1	Pantr1
ENSMUST00000180689.7	chr1	-	42648199	42694825	42648199	42648199		uc007auu.1	Pantr1
ENSMUST00000188153.6	chr1	-	42648199	42694825	42648199	42648199		uc287hra.1	Pantr1
ENSMUST00000177136.2	chr1	-	42693026	42694825	42693026	42693026		uc007auv.2	Pantr1
ENSMUST00000185599.1	chr1	-	42666851	42694842	42666851	42666851		uc287hre.1	Pantr1
ENSMUST00000185579.6	chr1	+	43933646	43949405	43933646	43933646		uc287hsy.1	Tpp2
ENSMUST00000190401.6	chr1	+	43934013	43957001	43934013	43934013		uc287hsz.1	Tpp2
ENSMUST00000186028.1	chr1	+	43934014	43957001	43934014	43934014		uc287hta.1	Tpp2
ENSMUST00000186441.1	chr1	+	43971369	43977352	43971369	43977352	A0A087WP19	uc287htd.1	Tpp2
ENSMUST00000189388.6	chr1	+	43934044	43990584	43934088	43983261	A0A087WRC0	uc287htc.1	Tpp2
ENSMUST00000188302.6	chr1	+	43934032	43990603	43934088	43973457	Q05DJ9	uc287htb.1	Tpp2
ENSMUST00000187115.1	chr1	+	44000824	44002336	44000824	44000824		uc287htf.1	Tpp2
ENSMUST00000087933.9	chr1	+	43934006	44002971	43934088	44002193	Q64514	uc007avs.3	Tpp2
ENSMUST00000188313.6	chr1	+	43934014	44003000	43934088	44002193	Q64514	uc007avt.3	Tpp2
ENSMUST00000190207.1	chr1	+	43983284	44003000	43983284	44001477	A0A087WQR6	uc287hte.1	Tpp2
ENSMUST00000138521.7	chr1	+	44118999	44126329	44118999	44118999		uc287hty.1	Bivm
ENSMUST00000186280.1	chr1	+	44119507	44126347	44119507	44119507		uc287htz.1	Bivm
ENSMUST00000129068.1	chr1	+	44119978	44126407	44126391	44126407		uc287hua.1	Bivm
ENSMUST00000155917.7	chr1	+	44118956	44126566	44126391	44126566	A0A087WRD0	uc287htx.1	Bivm
ENSMUST00000035991.7	chr1	+	44119161	44144510	44126391	44143142	Q8CBX9	uc007awd.3	Bivm
ENSMUST00000114709.2	chr1	+	44119967	44144770	44126391	44143142	Q8CBX9	uc007awf.3	Bivm
ENSMUST00000188376.1	chr1	+	44147743	44149522	44147743	44147743		uc287hub.1	Ercc5
ENSMUST00000145406.1	chr1	+	44147931	44158255	44147931	44147931		uc287hue.1	Ercc5
ENSMUST00000139510.7	chr1	+	44147908	44161844	44147908	44147908		uc287hud.1	Ercc5
ENSMUST00000137380.7	chr1	+	44156934	44166998	44156934	44156934		uc287huf.1	Ercc5
ENSMUST00000155862.1	chr1	+	44158829	44167217	44158829	44158829		uc287hug.1	Ercc5
ENSMUST00000027214.3	chr1	+	44147846	44181260	44148062	44181082	E9QM61	uc007awi.3	Ercc5
ENSMUST00000131177.7	chr1	+	44147846	44181260	44147846	44147846		uc287huc.1	Ercc5
ENSMUST00000187358.1	chr1	+	47657692	47659630	47657692	47657692		uc007axe.2	Gm8337
ENSMUST00000189563.1	chr1	-	54645339	54648613	54645339	54645339		uc287ids.1	Ankrd44
ENSMUST00000178156.7	chr1	-	54649096	54657687	54649352	54657687	J3QNJ4	uc287idu.1	Ankrd44
ENSMUST00000177704.7	chr1	-	54654910	54690947	54654910	54654910		uc287idw.1	Ankrd44
ENSMUST00000179242.1	chr1	-	54667212	54723076	54667212	54667212		uc287idx.1	Ankrd44
ENSMUST00000179398.1	chr1	-	54722567	54724423	54722567	54722567		uc287idz.1	Ankrd44
ENSMUST00000178685.1	chr1	-	54728986	54735644	54728986	54728986		uc287iea.1	Ankrd44
ENSMUST00000178226.2	chr1	-	54651668	54763728	54651668	54763728	J3QK13	uc287idv.1	Ankrd44
ENSMUST00000177919.7	chr1	-	54743298	54766423	54743298	54743298		uc287ied.1	Ankrd44
ENSMUST00000180189.7	chr1	-	54760568	54768827	54760568	54760568		uc287iee.1	Ankrd44
ENSMUST00000178905.1	chr1	-	54762367	54813443	54762367	54762367		uc287ief.1	Ankrd44
ENSMUST00000177679.1	chr1	-	54766791	54884711	54766791	54828647	J3QK37	uc287ieg.1	Ankrd44
ENSMUST00000178935.7	chr1	-	54735301	54926354	54735301	54735301		uc287ieb.1	Ankrd44
ENSMUST00000179030.7	chr1	-	54645339	54926387	54648276	54926166	B2RXR6	uc011wkz.1	Ankrd44
ENSMUST00000044359.15	chr1	-	54645341	54926387	54648276	54926166	E9QNQ2	uc287idt.1	Ankrd44
ENSMUST00000180327.7	chr1	-	54760886	54926387	54760886	54760886		uc007azv.3	Ankrd44
ENSMUST00000185474.1	chr1	+	55052868	55054093	55052868	55052868		uc287ier.1	Coq10b
ENSMUST00000185918.1	chr1	+	55059638	55061757	55059638	55059638		uc057aum.1	Coq10b
ENSMUST00000087617.10	chr1	+	55052769	55071953	55052874	55071803	G5E8J7	uc007baa.2	Coq10b
ENSMUST00000027125.6	chr1	+	55052769	55072702	55052874	55071803	A0A0R4J066	uc007azz.1	Coq10b
ENSMUST00000159743.1	chr1	+	55131325	55145383	55131325	55131325		uc287ifc.1	Mob4
ENSMUST00000187422.1	chr1	+	55147629	55148517	55147629	55147629		uc007baf.1	Mob4
ENSMUST00000162553.1	chr1	+	55131319	55152783	55136712	55152783	E0CYJ0	uc287ifb.1	Mob4
ENSMUST00000027122.13	chr1	+	55131281	55152999	55131281	55152806	G8JL35	uc287iez.1	Mob4
ENSMUST00000161122.1	chr1	+	55131286	55153359	55131299	55148333	E0CX17	uc287ifa.1	Mob4
ENSMUST00000159311.7	chr1	+	55131230	55153938	55131299	55152806	E0CXA9	uc057aun.2	Mob4
ENSMUST00000162930.7	chr1	+	55131259	55154898	55131259	55131259		uc287iey.1	Mob4
ENSMUST00000162364.7	chr1	+	55131230	55154899	55131299	55152806	Q6PEB6	uc007bad.2	Mob4
ENSMUST00000139787.7	chr1	-	58411999	58412861	58411999	58411999		uc287iij.1	Clk1
ENSMUST00000141570.7	chr1	-	58411999	58413437	58411999	58411999		uc287iik.1	Clk1
ENSMUST00000129303.1	chr1	-	58412315	58413825	58412315	58412315		uc287iio.1	Clk1
ENSMUST00000123580.7	chr1	-	58411999	58416765	58411999	58411999		uc287iil.1	Clk1
ENSMUST00000131051.1	chr1	-	58416909	58417426	58416909	58416909		uc287iis.1	Clk1
ENSMUST00000186552.6	chr1	-	58414589	58420398	58414589	58414589		uc287iip.1	Clk1
ENSMUST00000135380.1	chr1	-	58414614	58421258	58414614	58414614		uc287iiq.1	Clk1
ENSMUST00000156931.7	chr1	-	58410188	58424066	58410188	58410188		uc287iii.1	Clk1
ENSMUST00000034868.13	chr1	-	58411999	58424066	58412196	58421934	P22518	uc007bbs.3	Clk1
ENSMUST00000148330.7	chr1	-	58411999	58424066	58419712	58421934	P22518	uc287iim.1	Clk1
ENSMUST00000151338.7	chr1	-	58411999	58424066	58419712	58421934	P22518	uc287iin.1	Clk1
ENSMUST00000129577.7	chr1	-	58416142	58424066	58416142	58416142		uc287iir.1	Clk1
ENSMUST00000147258.1	chr1	-	58421625	58424066	58421625	58421625		uc287iit.1	Clk1
ENSMUST00000191472.1	chr1	-	58562430	58565220	58562430	58562430		uc287ijn.1	Fam126b
ENSMUST00000187717.6	chr1	-	58527742	58565954	58552235	58558027	A0A087WSI2	uc287ijj.1	Fam126b
ENSMUST00000038372.13	chr1	-	58529082	58586191	58529657	58558027	Q8C729	uc007bch.4	Fam126b
ENSMUST00000160546.7	chr1	-	58557332	58586264	58557332	58557332		uc287ijl.1	Fam126b
ENSMUST00000097724.9	chr1	-	58527020	58586266	58529657	58558027	Q8C729	uc007bcj.3	Fam126b
ENSMUST00000161000.1	chr1	-	58552186	58586275	58552186	58558027	E0CZ67	uc287ijk.1	Fam126b
ENSMUST00000159980.1	chr1	-	58557359	58586277	58557359	58557359		uc287ijm.1	Fam126b
ENSMUST00000159185.1	chr1	-	58565603	58586297	58565603	58565603		uc287ijo.1	Fam126b
ENSMUST00000161600.7	chr1	-	58522805	58586323	58529657	58558027	Q8C729	uc007bci.3	Fam126b
ENSMUST00000123965.7	chr1	+	58973521	58981475	58973521	58973521		uc287ikq.1	Stradb
ENSMUST00000147637.7	chr1	+	58973521	58987847	58973521	58973521		uc287ikr.1	Stradb
ENSMUST00000114296.7	chr1	+	58973521	58991512	58977053	58991218	Q8K4T3	uc007bcx.2	Stradb
ENSMUST00000152318.1	chr1	+	58991057	58994359	58991057	58993131	M0QWE6	uc287iku.1	Stradb
ENSMUST00000123301.7	chr1	+	58973521	58994997	58977053	58992672	A0A0R4J299	uc287iks.1	Stradb
