ENMUST_ID	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	proteinID	alignID
ENSMUST00000027343.5	chr1	-	23366423	23383175	23369748	23383051	7	23366423,23375729,23375987,23376170,23378725,23378971,23382814,	23370448,23375875,23376054,23376249,23378804,23379058,23383175,	Q8VE52	uc007amb.1
ENSMUST00000188677.1	chr1	-	23370267	23397541	23370267	23375824	8	23370267,23375729,23375987,23376170,23378725,23378971,23392870,23397513,	23370448,23375875,23376054,23376249,23378804,23379058,23393011,23397541,	A0A087WNQ8	uc287gvu.1
ENSMUST00000189537.1	chr1	-	23391748	23397772	23391748	23391748	2	23391748,23397513,	23393011,23397772,		uc007amc.1
ENSMUST00000124600.1	chr1	+	24197016	24220785	24197016	24197016	13	24197016,24197443,24202013,24202296,24204657,24205053,24207385,24208173,24209058,24210372,24214538,24217535,24220743,	24197335,24197506,24202067,24202332,24204681,24205107,24207439,24208206,24209115,24210426,24214592,24217589,24220785,		uc287gwo.1
ENSMUST00000147902.1	chr1	+	24229516	24230955	24229516	24229516	2	24229516,24230882,	24230249,24230955,		uc287gwp.1
ENSMUST00000054588.14	chr1	+	24177609	24252684	24177854	24251861	38	24177609,24178258,24179283,24179474,24185037,24194682,24195516,24196890,24197299,24197443,24202013,24202296,24204657,24205053,24207385,24208173,24209058,24210372,24214538,24217535,24220743,24221578,24221769,24221944,24222421,24223574,24224503,24224646,24230195,24230882,24231450,24232184,24233570,24237124,24237441,24239206,24244357,24251676,	24177868,24178332,24179361,24179607,24185434,24194766,24195537,24196965,24197335,24197506,24202067,24202332,24204681,24205107,24207439,24208206,24209115,24210426,24214592,24217589,24220797,24221632,24221823,24221998,24222475,24223619,24224557,24224700,24230249,24230954,24231486,24232229,24233603,24237271,24237496,24239395,24244435,24252684,	G3X995	uc007amo.3
ENSMUST00000088349.2	chr1	+	24195186	24252684	24195379	24251861	32	24195186,24196890,24197299,24197443,24202013,24202296,24204657,24205053,24207385,24208173,24209058,24210372,24214538,24217535,24220743,24221578,24221769,24221944,24222421,24223574,24224503,24224646,24230195,24230882,24231450,24232184,24233570,24237124,24237441,24239206,24244357,24251676,	24195457,24196965,24197335,24197506,24202067,24202332,24204681,24205107,24207439,24208206,24209115,24210426,24214592,24217589,24220797,24221632,24221823,24221998,24222475,24223619,24224557,24224700,24230249,24230954,24231486,24232229,24233603,24237271,24237496,24239395,24244435,24252684,	Q9D0D2	uc007amp.4
ENSMUST00000190190.1	chr1	-	30806204	30809105	30806204	30806204	2	30806204,30808722,	30806364,30809105,		uc287gzm.1
ENSMUST00000191329.1	chr1	-	30803545	30810712	30806148	30810712	3	30803545,30808722,30810682,	30806364,30808812,30810712,	A0A087WP76	uc287gzl.1
ENSMUST00000187316.1	chr1	-	30811903	30813535	30811903	30811903	2	30811903,30813016,	30811967,30813535,		uc287gzn.1
ENSMUST00000188847.1	chr1	-	30821057	30823843	30821057	30821057	1	30821057,	30823843,		uc287gzq.1
ENSMUST00000185521.1	chr1	-	30829430	30830743	30829430	30829430	1	30829430,	30830743,		uc287gzs.1
ENSMUST00000187600.1	chr1	-	30824415	30863070	30824415	30824415	2	30824415,30862986,	30824519,30863070,		uc287gzr.1
ENSMUST00000088310.9	chr1	-	30802341	30863256	30803798	30863230	15	30802341,30806168,30808722,30810682,30811771,30813016,30813959,30816467,30820080,30820682,30821130,30824209,30829842,30837104,30862986,	30805942,30806364,30808812,30810830,30811967,30813152,30814091,30816584,30820237,30820827,30821314,30824519,30831559,30837266,30863256,	B2RQG2	uc007ane.1
ENSMUST00000187968.1	chr1	-	30863069	30873252	30863069	30863230	2	30863069,30873022,	30863255,30873252,	A0A087WNQ9	uc287gzv.1
ENSMUST00000185604.1	chr1	-	30872651	30873475	30872651	30872651	1	30872651,	30873475,		uc287gzx.1
ENSMUST00000186733.6	chr1	-	30802338	30873581	30803798	30863230	16	30802338,30806168,30808722,30810682,30811771,30813016,30813959,30816467,30820080,30820682,30821130,30824209,30829842,30837104,30862986,30873577,	30805942,30806364,30808812,30810830,30811967,30813152,30814091,30816584,30820237,30820827,30821314,30824519,30831559,30837266,30863255,30873581,	B2RQG2	uc287gzk.1
ENSMUST00000186105.6	chr1	-	30813570	30873695	30813570	30813570	7	30813570,30816467,30820080,30820682,30821130,30824209,30873577,	30814091,30816584,30820237,30820827,30821314,30824519,30873695,		uc287gzo.1
ENSMUST00000191064.6	chr1	-	30820225	30873804	30824460	30863230	7	30820225,30820682,30821130,30824209,30837104,30862986,30873577,	30820237,30820827,30821314,30824519,30837266,30863255,30873804,	A0A087WRR9	uc287gzp.1
ENSMUST00000188780.1	chr1	-	30831204	30873894	30831204	30863230	3	30831204,30862986,30873577,	30831559,30863255,30873894,	A0A087WS81	uc287gzt.1
ENSMUST00000191245.6	chr1	-	30815314	30873921	30815314	30815314	6	30815314,30820080,30820682,30821130,30824209,30873577,	30816584,30820237,30820827,30821314,30824519,30873921,		uc007ang.2
ENSMUST00000095050.4	chr1	+	31615148	31616661	31615148	31615148	1	31615148,	31616661,		uc287hau.1
ENSMUST00000182410.2	chr1	+	34089291	34119153	34089291	34089291	4	34089291,34113932,34116117,34117431,	34089428,34114022,34116195,34119153,		uc287hda.1
ENSMUST00000239001.1	chr1	+	34077226	34135157	34077302	34135157	6	34077226,34086241,34113932,34116117,34117431,34135089,	34077372,34086303,34114022,34116195,34117524,34135157,		uc294jqa.1
ENSMUST00000182697.7	chr1	+	34005881	34137135	34006005	34135380	7	34005881,34006190,34086241,34113932,34116117,34117431,34135089,	34006008,34006398,34086303,34114022,34116195,34117524,34137135,	A0A0A6YX28	uc007aog.2
ENSMUST00000182314.7	chr1	+	34006125	34137136	34006163	34135380	6	34006125,34086241,34113932,34116117,34117431,34135089,	34006398,34086303,34114022,34116195,34117524,34137136,	A0A0A6YXR1	uc007aoh.2
ENSMUST00000183006.4	chr1	+	34121249	34154521	34121630	34154521	5	34121249,34135089,34152201,34152412,34154512,	34122392,34135256,34152314,34152519,34154521,		uc007aok.3
ENSMUST00000183331.7	chr1	+	34006179	34164700	34006179	34006179	18	34006179,34086241,34113932,34116117,34117431,34135089,34152201,34152412,34154512,34156598,34156780,34160619,34161003,34163008,34163625,34163896,34164075,34164326,	34006398,34086303,34114022,34116195,34117524,34135256,34152314,34152519,34154632,34156694,34156908,34160713,34161158,34163471,34163754,34163974,34164237,34164700,		uc287hcx.1
ENSMUST00000182335.1	chr1	+	34161923	34165401	34161923	34161923	1	34161923,	34165401,		uc287hdd.1
ENSMUST00000187486.6	chr1	+	34005879	34174795	34006005	34174795	33	34005879,34006190,34086241,34113932,34116117,34117431,34135089,34152201,34152412,34154512,34156598,34156780,34160619,34161003,34163008,34163625,34163896,34164075,34164326,34165057,34166179,34166941,34167275,34167610,34167822,34169163,34169749,34170359,34171115,34172182,34173001,34174114,34174696,	34006008,34006398,34086303,34114022,34116195,34117524,34135256,34152314,34152519,34154632,34156694,34156908,34160713,34161158,34163471,34163754,34163974,34164237,34164431,34165153,34166305,34167091,34167430,34167737,34168006,34169321,34169928,34170498,34171309,34172345,34173085,34174222,34174795,	A0A087WRB8	uc287hcw.1
ENSMUST00000181692.2	chr1	-	34165855	34178271	34165855	34165855	3	34165855,34169144,34177887,	34167095,34169270,34178271,		uc287hde.1
ENSMUST00000187268.1	chr1	-	34175030	34178446	34175030	34175030	1	34175030,	34178446,		uc287hdf.1
ENSMUST00000189952.1	chr1	+	34178905	34183247	34178905	34178905	1	34178905,	34183247,		uc287hdg.1
ENSMUST00000183302.5	chr1	+	34160329	34183904	34160329	34183036	24	34160329,34160619,34161003,34163008,34163625,34163896,34164075,34164326,34165057,34166179,34166941,34167275,34167610,34167822,34169163,34169749,34170359,34171115,34172182,34173001,34174114,34174696,34177795,34181134,	34160496,34160713,34161158,34163471,34163754,34163974,34164237,34164431,34165153,34166305,34167091,34167430,34167737,34168006,34169321,34169928,34170498,34171309,34172345,34173085,34174222,34174795,34180498,34183904,	Q91ZU6	uc007aol.3
ENSMUST00000185897.6	chr1	+	34160329	34193263	34160329	34193263	26	34160329,34160619,34161003,34163008,34163625,34163896,34164075,34164326,34165057,34166179,34166938,34167275,34167610,34167822,34169163,34169749,34170359,34171115,34172182,34173001,34174114,34174696,34184015,34185961,34186818,34187971,	34160496,34160713,34161158,34163471,34163754,34163974,34164237,34164431,34165153,34166305,34167091,34167430,34167737,34168006,34169321,34169928,34170498,34171309,34172345,34173085,34174222,34174795,34184144,34186050,34186951,34193263,	A0A087WPR7	uc287hdb.1
ENSMUST00000185736.1	chr1	+	34270569	34272292	34270569	34270569	2	34270569,34271354,	34271025,34272292,		uc287hdk.1
ENSMUST00000194192.2	chr1	+	34236595	34274283	34237610	34274283	23	34236595,34242618,34244343,34247648,34249478,34249803,34250609,34251695,34252810,34256231,34256541,34257721,34260163,34262019,34263263,34264524,34264749,34266856,34268228,34268734,34270827,34271354,34274167,	34238903,34242780,34244514,34247815,34249638,34250130,34250694,34251937,34253017,34256351,34256649,34257940,34260367,34262251,34263490,34264647,34264851,34266958,34268402,34268890,34271025,34271483,34274283,	A0A1D5RLZ3	uc287hdh.1
ENSMUST00000183100.7	chr1	+	34293454	34303463	34293454	34303463	7	34293454,34294383,34295153,34295461,34299720,34302829,34303420,	34293483,34294546,34295308,34295536,34299838,34303032,34303463,	S4R2A8	uc287hdl.1
ENSMUST00000182507.3	chr1	+	34294445	34306651	34294445	34306651	6	34294445,34295153,34295461,34299720,34302829,34306527,	34294546,34295308,34295536,34299838,34303032,34306651,	S4R2C6	uc287hdm.1
ENSMUST00000183034.4	chr1	+	33908224	34307592	33908271	34307592	103	33908224,33908998,33968702,34006190,34086241,34113932,34116117,34117431,34135089,34152201,34152412,34154512,34156598,34156780,34160619,34161003,34163008,34163625,34163896,34164075,34164326,34165057,34166179,34166941,34167275,34167610,34167822,34169163,34169749,34170359,34171115,34172182,34173001,34174114,34174696,34184015,34185961,34186818,34187971,34193391,34194004,34194514,34195827,34197200,34198517,34199291,34200869,34202444,34208553,34211153,34212221,34212901,34214533,34215485,34217809,34218334,34219395,34223803,34225508,34227774,34242618,34244343,34247648,34249478,34249803,34250609,34251695,34252810,34256231,34256541,34257721,34260163,34262019,34263263,34264524,34264749,34266856,34268228,34268734,34270827,34271354,34274167,34275204,34275672,34278019,34282422,34284258,34287186,34287890,34289523,34290358,34291786,34293319,34294383,34295153,34295461,34296741,34299720,34301860,34302829,34303420,34306527,34307329,	33908452,33909033,33968903,34006398,34086303,34114022,34116195,34117524,34135256,34152314,34152519,34154632,34156694,34156908,34160713,34161158,34163471,34163754,34163974,34164237,34164431,34165153,34166305,34167091,34167430,34167737,34168006,34169321,34169928,34170498,34171309,34172345,34173085,34174222,34174795,34184144,34186050,34186951,34193263,34193541,34194220,34194664,34196061,34197353,34198751,34199558,34201415,34202621,34208677,34211362,34212539,34213068,34214690,34215612,34217872,34218576,34219525,34224003,34226004,34229246,34242780,34244514,34247815,34249638,34250130,34250694,34251937,34253017,34256351,34256649,34257940,34260367,34262251,34263490,34264647,34264851,34266958,34268402,34268890,34271025,34271483,34274338,34275360,34275879,34278139,34282592,34284418,34287381,34288019,34289667,34290547,34291916,34293483,34294546,34295308,34295536,34296759,34299838,34301932,34303032,34303531,34306651,34307592,	S4R1P5	uc007aon.3
ENSMUST00000185269.6	chr1	+	34160329	34308404	34160329	34307592	84	34160329,34160619,34161003,34163008,34163625,34163896,34164075,34164326,34165057,34166179,34166941,34167275,34167610,34167822,34169163,34169749,34170359,34171115,34172182,34173001,34174114,34174696,34184015,34185961,34186818,34197200,34198517,34199291,34200869,34202444,34208553,34211153,34212221,34212901,34214533,34215485,34217809,34218334,34219395,34223803,34225508,34227774,34242618,34244343,34247648,34249478,34249803,34250609,34251695,34252810,34256231,34256541,34257721,34260163,34262019,34263263,34264524,34264749,34266856,34268228,34268734,34270827,34271354,34274167,34275204,34275672,34278019,34282422,34284258,34287186,34287890,34289523,34290358,34291786,34293319,34294383,34295153,34295461,34296741,34299720,34302829,34303420,34306527,34307329,	34160496,34160713,34161158,34163471,34163754,34163974,34164237,34164431,34165153,34166305,34167091,34167430,34167737,34168006,34169321,34169928,34170498,34171309,34172345,34173085,34174222,34174795,34184144,34186050,34186951,34197353,34198751,34199558,34201415,34202621,34208677,34211362,34212539,34213068,34214690,34215612,34217872,34218576,34219525,34224003,34226004,34229246,34242780,34244514,34247815,34249638,34250130,34250694,34251937,34253017,34256351,34256649,34257940,34260367,34262251,34263490,34264647,34264851,34266958,34268402,34268890,34271025,34271483,34274338,34275360,34275879,34278139,34282592,34284418,34287381,34288019,34289667,34290547,34291916,34293483,34294546,34295308,34295536,34296759,34299838,34303032,34303531,34306651,34308404,	A0A087WSP0	uc287hdc.1
ENSMUST00000182018.7	chr1	+	34257835	34308404	34257835	34307592	32	34257835,34260163,34262019,34263263,34264524,34264749,34266856,34268228,34268734,34270827,34271354,34274167,34275204,34275672,34278019,34282422,34284258,34287186,34287890,34289523,34290358,34291786,34293319,34294383,34295153,34295461,34296741,34299720,34302829,34303420,34306527,34307329,	34257940,34260367,34262251,34263490,34264647,34264851,34266958,34268402,34268890,34271025,34271483,34274338,34275360,34275879,34278139,34282592,34284418,34287381,34288019,34289667,34290547,34291916,34293483,34294546,34295308,34295536,34296759,34299838,34303032,34303531,34306651,34308404,	S4R1Y6	uc287hdi.1
