#mm10.knownGene.name	mm10.knownGene.chrom	mm10.knownGene.strand	mm10.knownGene.txStart	mm10.knownGene.txEnd	mm10.knownGene.cdsStart	mm10.knownGene.cdsEnd	mm10.knownGene.proteinID	mm10.knownGene.alignID	mm10.kgXref.geneSymbol
ENSMUST00000188712.6	chr1	-	24011092	24086526	24054094	24085487	A0A087WPF3	uc287gwg.1	Fam135a
ENSMUST00000187369.6	chr1	-	24011590	24100182	24012291	24085487	A0A087WRT5	uc287gwi.1	Fam135a
ENSMUST00000187752.6	chr1	-	24011244	24100194	24012291	24085487	A0A087WP54	uc287gwh.1	Fam135a
ENSMUST00000186999.6	chr1	-	24028721	24100216	24028721	24085487	A0A087WQH5	uc287gwl.1	Fam135a
ENSMUST00000027337.14	chr1	-	24011680	24100333	24012291	24085487	Q6NS59	uc007aml.3	Fam135a
ENSMUST00000185525.1	chr1	-	24051763	24100341	24051763	24051763		uc007amn.3	Fam135a
ENSMUST00000189552.1	chr1	-	33478941	33622142	33478941	33478941		uc007anr.2	Prim2
ENSMUST00000187353.1	chr1	-	33620877	33623324	33620877	33620877		uc287hbu.1	Prim2
ENSMUST00000027312.10	chr1	-	33453809	33669795	33454085	33669011	P33610	uc007anq.3	Prim2
ENSMUST00000155484.1	chr1	-	33746738	33748719	33746738	33746738		uc287hce.1	Bag2
ENSMUST00000189741.1	chr1	-	33756772	33757727	33756772	33756772		uc287hch.1	Bag2
ENSMUST00000187602.1	chr1	-	33746801	33757741	33746955	33757691	A0A087WNX9	uc287hcf.1	Bag2
ENSMUST00000044691.8	chr1	-	33745483	33757795	33746606	33757691	Q91YN9	uc007any.2	Bag2
ENSMUST00000056946.7	chr1	-	36264596	36273435	36266359	36273365	Q8CJC5	uc007aps.2	Neurl3
ENSMUST00000188666.2	chr1	-	36268860	36274679	36269141	36273365	A0A087WP78	uc007apt.2	Neurl3
ENSMUST00000136179.7	chr1	-	43771729	43827016	43771729	43771729		uc287hso.1	Uxs1
ENSMUST00000076997.12	chr1	-	43749511	43827741	43790499	43827708	G5E8H4	uc011wka.2	Uxs1
ENSMUST00000153317.5	chr1	-	43771729	43827750	43771729	43827708	A0A0J9YUC7	uc287hsp.1	Uxs1
ENSMUST00000134860.7	chr1	-	43774865	43827762	43774865	43774865		uc287hsq.1	Uxs1
ENSMUST00000136704.1	chr1	-	43780117	43827762	43816935	43827708	D6RIQ1	uc287hsr.1	Uxs1
ENSMUST00000128261.1	chr1	-	43790630	43827774	43790630	43827708	D3Z411	uc287hst.1	Uxs1
ENSMUST00000126008.7	chr1	-	43746965	43827800	43750230	43827708	Q91XL3	uc007avq.2	Uxs1
ENSMUST00000139451.7	chr1	-	43765006	43827800	43765006	43827708	D3YUF9	uc287hsn.1	Uxs1
ENSMUST00000142145.1	chr1	+	45795502	45802355	45795502	45795502		uc287hvo.1	Wdr75
ENSMUST00000147308.1	chr1	+	45795506	45803929	45795521	45803929	D3Z504	uc287hvp.1	Wdr75
ENSMUST00000146602.1	chr1	+	45803685	45805447	45803685	45803685		uc287hvr.1	Wdr75
ENSMUST00000186308.1	chr1	+	45822264	45823513	45822264	45822264		uc287hvt.1	Wdr75
ENSMUST00000143737.7	chr1	+	45801988	45823515	45801988	45801988		uc287hvq.1	Wdr75
ENSMUST00000154436.7	chr1	+	45795448	45823604	45795448	45795448		uc287hvn.1	Wdr75
ENSMUST00000186651.1	chr1	+	45822557	45823616	45822557	45823358	A0A087WQ22	uc287hvu.1	Wdr75
ENSMUST00000027139.14	chr1	+	45795165	45823619	45795521	45823515	Q3U821	uc007awt.2	Wdr75
ENSMUST00000135662.7	chr1	+	45814677	45823619	45814677	45814677		uc287hvs.1	Wdr75
ENSMUST00000188252.6	chr1	-	45918927	45923309	45918927	45918927		uc287hwa.1	Slc40a1
ENSMUST00000186822.1	chr1	-	45918935	45925262	45918935	45918935		uc287hwb.1	Slc40a1
ENSMUST00000027137.10	chr1	-	45908067	45925582	45909405	45925263	Q9JHI9	uc007awu.2	Slc40a1
ENSMUST00000191247.6	chr1	-	45915240	45925609	45915240	45915240		uc007awv.2	Slc40a1
ENSMUST00000186804.1	chr1	-	45921216	45926519	45921216	45925263	C5H8V4	uc287hwc.1	Slc40a1
ENSMUST00000187406.6	chr1	-	45921216	45926519	45921216	45925263	C5H8V4	uc287hwd.1	Slc40a1
ENSMUST00000187420.6	chr1	-	45921216	45926519	45921216	45925263	C5H8V4	uc287hwe.1	Slc40a1
ENSMUST00000186755.1	chr1	-	45923731	45926523	45923731	45923731		uc287hwf.1	Slc40a1
ENSMUST00000141226.2	chr1	-	46817601	46835899	46817601	46817601		uc287hwu.1	Slc39a10
ENSMUST00000027131.5	chr1	-	46807543	46854046	46809952	46836140	Q6P5F6	uc007axc.2	Slc39a10
ENSMUST00000185520.1	chr1	-	46835737	46888070	46835737	46888006	A0A087WRC8	uc287hww.1	Slc39a10
ENSMUST00000186852.1	chr1	-	46835639	46892852	46835639	46836140	A0A087WQF7	uc287hwv.1	Slc39a10
ENSMUST00000186103.6	chr1	+	50900646	50913925	50900646	50900646		uc007axh.1	Tmeff2
ENSMUST00000139157.7	chr1	+	50900646	50915430	50900646	50900646		uc287hye.1	Tmeff2
ENSMUST00000114565.7	chr1	+	50909961	50979920	50927947	50979649	A0A0R4J1J9	uc007axi.2	Tmeff2
ENSMUST00000081851.3	chr1	+	50927518	51187270	50927947	51185481	Q9QYM9	uc007axj.2	Tmeff2
ENSMUST00000145367.1	chr1	-	51760352	51764470	51760352	51760352		uc287hyv.1	Myo1b
ENSMUST00000140930.1	chr1	-	51762589	51767392	51762589	51762589		uc287hyx.1	Myo1b
ENSMUST00000140731.7	chr1	-	51762521	51770879	51762521	51762521		uc287hyw.1	Myo1b
ENSMUST00000136273.1	chr1	-	51766875	51776436	51766875	51766875		uc287hyy.1	Myo1b
ENSMUST00000126952.1	chr1	-	51779714	51782204	51779714	51779714		uc287hza.1	Myo1b
ENSMUST00000136701.1	chr1	-	51776392	51795225	51776392	51776392		uc287hyz.1	Myo1b
ENSMUST00000135125.7	chr1	-	51799535	51820546	51799535	51799535		uc287hzc.1	Myo1b
ENSMUST00000123299.1	chr1	-	51834463	51851106	51834463	51834463		uc287hze.1	Myo1b
ENSMUST00000144694.1	chr1	-	51797402	51896301	51797402	51883217	D3YV80	uc287hzb.1	Myo1b
ENSMUST00000114541.7	chr1	-	51749988	51907316	51751172	51907139	E9Q580	uc287hyu.1	Myo1b
ENSMUST00000151525.7	chr1	-	51810680	51915912	51810680	51810680		uc287hzd.1	Myo1b
ENSMUST00000126657.1	chr1	-	51862644	51915921	51862644	51862644		uc287hzg.1	Myo1b
ENSMUST00000018561.13	chr1	-	51749993	51915928	51751172	51883217	Q7TQD7	uc007axs.4	Myo1b
ENSMUST00000114537.8	chr1	-	51749981	51915941	51751172	51883217	E9QNH6	uc007axt.4	Myo1b
ENSMUST00000046390.13	chr1	-	51749764	51916071	51751172	51883217	P46735	uc007axr.4	Myo1b
ENSMUST00000179821.2	chr1	+	52584517	52585159	52584517	52584517		uc287iaw.1	Gm5527
ENSMUST00000191076.1	chr1	+	52645180	52650027	52645180	52645180		uc287ibc.1	Nemp2
ENSMUST00000185483.6	chr1	+	52630746	52650636	52630757	52643188	Q8CB65	uc287iay.1	Nemp2
ENSMUST00000190452.6	chr1	+	52641983	52650656	52641983	52641983		uc287ibb.1	Nemp2
ENSMUST00000185790.6	chr1	+	52630796	52650702	52630796	52645359	A0A087WQU8	uc287iaz.1	Nemp2
ENSMUST00000190108.6	chr1	+	52630751	52650729	52630751	52630751		uc029qol.2	Nemp2
ENSMUST00000165859.7	chr1	+	52630702	52651919	52630757	52649844	Q8CB65	uc011wkp.2	Nemp2
ENSMUST00000188507.6	chr1	+	52630736	52651919	52630757	52645359	A0A087WQD9	uc287iax.1	Nemp2
ENSMUST00000186903.6	chr1	+	52641515	52651919	52641515	52641515		uc287iba.1	Nemp2
ENSMUST00000159607.1	chr1	-	52790055	52795048	52790055	52790055		uc287ibk.1	Inpp1
ENSMUST00000177279.7	chr1	-	52789667	52799488	52794541	52799488	H3BK26	uc287ibj.1	Inpp1
ENSMUST00000159725.1	chr1	-	52797065	52800371	52797065	52799488	E0CYQ4	uc287ibn.1	Inpp1
ENSMUST00000162351.1	chr1	-	52796978	52817451	52796978	52796978		uc287ibm.1	Inpp1
ENSMUST00000162576.7	chr1	-	52794664	52817568	52794664	52799488	E0CX64	uc287ibl.1	Inpp1
ENSMUST00000027271.8	chr1	-	52785426	52817688	52789667	52799488	P49442	uc007ayo.4	Inpp1
ENSMUST00000135746.7	chr1	+	53297094	53301953	53297094	53297094		uc007ayy.3	Ormdl1
ENSMUST00000027266.3	chr1	+	53297094	53310309	53298978	53308962	Q921I0	uc011wks.2	Ormdl1
ENSMUST00000187255.1	chr1	+	57377639	57380078	57377639	57377639		uc287igg.1	1700066M21Rik
ENSMUST00000185952.1	chr1	+	57377632	57380162	57377632	57377632		uc287igf.1	1700066M21Rik
ENSMUST00000042734.2	chr1	+	57377619	57385423	57377670	57383564	Q9D9H8	uc007bay.3	1700066M21Rik
ENSMUST00000168895.1	chr1	+	57774916	57799580	57774916	57774916		uc287ihg.1	Spats2l
ENSMUST00000163922.1	chr1	+	57774418	57800438	57774418	57774418		uc287igz.1	Spats2l
ENSMUST00000165235.1	chr1	+	57774911	57832306	57774911	57774911		uc287ihf.1	Spats2l
ENSMUST00000168016.7	chr1	+	57774889	57857541	57774889	57774889		uc287ihe.1	Spats2l
ENSMUST00000168905.7	chr1	+	57774248	57879723	57774248	57774248		uc287igw.1	Spats2l
ENSMUST00000172287.7	chr1	+	57774161	57885768	57832099	57885768	E9Q1C3	uc287igv.1	Spats2l
ENSMUST00000167971.7	chr1	+	57774599	57885836	57832099	57885836	E9Q8P1	uc287iha.1	Spats2l
ENSMUST00000172068.7	chr1	+	57774300	57902109	57832099	57902109	E9Q106	uc287igx.1	Spats2l
ENSMUST00000171699.7	chr1	+	57774743	57938021	57832099	57938021	E9Q5S6	uc287ihc.1	Spats2l
ENSMUST00000164353.2	chr1	+	57902070	57938021	57902070	57902070		uc287ihh.1	Spats2l
ENSMUST00000163239.7	chr1	+	57774364	57946964	57885825	57946463	E9Q7S4	uc287igy.1	Spats2l
ENSMUST00000170139.7	chr1	+	57774734	57946965	57855485	57946463	Q91WJ7	uc287ihb.1	Spats2l
ENSMUST00000164302.7	chr1	+	57774754	57946965	57855485	57946463	E9PZE9	uc287ihd.1	Spats2l
ENSMUST00000169772.2	chr1	+	57845570	57946965	57855485	57946463	Q91WJ7	uc007bbe.3	Spats2l
ENSMUST00000167085.7	chr1	+	57774860	57948394	57832099	57946463	E9PVQ3	uc007bbd.3	Spats2l
ENSMUST00000114366.2	chr1	+	58278325	58380259	58278418	58376315	Q5SGK3	uc007bbp.2	Aox2
ENSMUST00000188898.6	chr1	+	58393123	58403004	58394211	58403004	A0A087WPF9	uc287iif.1	Bzw1
ENSMUST00000186949.1	chr1	+	58393469	58405131	58393540	58405066	A0A087WQS2	uc287iih.1	Bzw1
ENSMUST00000188630.6	chr1	+	58393131	58405487	58394211	58400783	A0A087WS48	uc287iig.1	Bzw1
ENSMUST00000050552.14	chr1	+	58392897	58407353	58394211	58405066	Q9CQC6	uc007bbr.2	Bzw1
ENSMUST00000151272.1	chr1	+	58445728	58448050	58447656	58448050	D3YYF0	uc287ija.1	Nif3l1
ENSMUST00000129759.1	chr1	+	58445627	58450507	58447656	58449278	E9PWJ6	uc287iiz.1	Nif3l1
ENSMUST00000185578.1	chr1	+	58453403	58456188	58453403	58453403		uc287ijc.1	Nif3l1
ENSMUST00000140723.1	chr1	+	58449166	58457800	58449166	58449166		uc287ijb.1	Nif3l1
ENSMUST00000188295.1	chr1	+	58457684	58461384	58457684	58457684		uc287ijd.1	Nif3l1
ENSMUST00000171597.1	chr1	+	58447630	58462266	58447656	58461325	Q9EQ80	uc007bcb.2	Nif3l1
ENSMUST00000087521.12	chr1	+	58445150	58463456	58447656	58461325	Q9EQ80	uc007bbz.2	Nif3l1
ENSMUST00000151723.1	chr1	-	58480310	58481449	58480310	58480310		uc287ijf.1	Orc2
ENSMUST00000114337.7	chr1	+	58445266	58481816	58447656	58481029	D3Z0G0	uc007bca.1	Nif3l1
ENSMUST00000114325.7	chr1	-	58464203	58501416	58464203	58501416	Q59IX1	uc007bcc.2	Orc2
ENSMUST00000190695.1	chr1	-	58483697	58504925	58483697	58497388	A0A087WPP9	uc287ijg.1	Orc2
ENSMUST00000191206.1	chr1	-	58500345	58504955	58500345	58501416	A0A087WSP9	uc287ijh.1	Orc2
ENSMUST00000027198.11	chr1	-	58462770	58505109	58464203	58501416	Q60862	uc007bcd.2	Orc2
ENSMUST00000191201.6	chr1	+	58795476	58846754	58804082	58846754	A0A087WQT6	uc287iki.1	Casp8
ENSMUST00000190213.1	chr1	+	58802652	58846754	58804082	58846754	A0A087WQT6	uc033fjc.2	Casp8
ENSMUST00000165549.7	chr1	+	58802501	58847008	58823942	58846754	Q3U607	uc007bct.2	Casp8
ENSMUST00000027189.14	chr1	+	58795373	58847503	58823942	58846754	Q3U607	uc007bcs.1	Casp8
ENSMUST00000188469.1	chr1	-	59216343	59219126	59216343	59216343		uc056ycy.1	Als2
ENSMUST00000163058.1	chr1	-	59164057	59237093	59164176	59220394	Q920R0	uc011wlp.2	Als2
ENSMUST00000160945.1	chr1	-	59215650	59237226	59215650	59215857	A0A087WSC7	uc287iln.1	Als2
ENSMUST00000027178.12	chr1	-	59162925	59237231	59164176	59220394	Q920R0	uc007bdm.3	Als2
ENSMUST00000159166.7	chr1	-	59191608	59237231	59191608	59191608		uc007bdn.4	Als2
ENSMUST00000186044.1	chr1	+	59685005	59690989	59685005	59685005		uc287imo.1	Nop58
ENSMUST00000191088.6	chr1	+	59684970	59692666	59684970	59684970		uc287imk.1	Nop58
ENSMUST00000189289.6	chr1	+	59685002	59692688	59685002	59685002		uc287imn.1	Nop58
ENSMUST00000185772.6	chr1	+	59685020	59696052	59695991	59696052	A0A087WNS6	uc287imp.1	Nop58
ENSMUST00000190231.6	chr1	+	59684984	59696077	59695991	59696077	A0A087WRD9	uc287imm.1	Nop58
ENSMUST00000190759.6	chr1	+	59690178	59698386	59690178	59690178		uc287imr.1	Nop58
ENSMUST00000189327.6	chr1	+	59685053	59698422	59685181	59692559	A0A087WNW0	uc287imq.1	Nop58
ENSMUST00000189919.6	chr1	+	59696026	59704161	59696026	59703164	A0A087WSU5	uc287imu.1	Nop58
ENSMUST00000185368.1	chr1	+	59692443	59704209	59692443	59692443		uc287ims.1	Nop58
ENSMUST00000190265.6	chr1	+	59698415	59707064	59698415	59706691	A0A087WSL8	uc287imv.1	Nop58
ENSMUST00000187491.1	chr1	+	59704158	59709099	59704158	59706735	A0A087WQ59	uc287imw.1	Nop58
ENSMUST00000187837.6	chr1	+	59704197	59711279	59704197	59711279	A0A087WQ46	uc287imx.1	Nop58
ENSMUST00000188390.1	chr1	+	59704708	59711280	59704708	59711280	A0A087WP00	uc287imz.1	Nop58
ENSMUST00000027174.9	chr1	+	59684976	59711510	59685181	59711337	A0A0A0MQ76	uc287iml.1	Nop58
ENSMUST00000191142.6	chr1	+	59685008	59719044	59685181	59711321	Q6DFW4	uc007bdy.2	Nop58
ENSMUST00000190095.1	chr1	-	63143595	63144961	63143595	63143595		uc287iri.1	Ndufs1
ENSMUST00000187756.6	chr1	-	63143688	63147391	63146555	63147391	A0A087WQ77	uc287irk.1	Ndufs1
ENSMUST00000187835.1	chr1	-	63143603	63147723	63143603	63143603		uc287irj.1	Ndufs1
ENSMUST00000186569.1	chr1	-	63150232	63152842	63150232	63150232		uc287irm.1	Ndufs1
ENSMUST00000185847.1	chr1	-	63150065	63176663	63150065	63151687	A0A087WSU3	uc287irl.1	Ndufs1
ENSMUST00000185732.6	chr1	-	63165013	63176666	63165013	63170909	A0A087WQR0	uc287irq.1	Ndufs1
ENSMUST00000140612.1	chr1	-	63158901	63176667	63158901	63158901		uc287irn.1	Ndufs1
ENSMUST00000185827.6	chr1	-	63156682	63176669	63156682	63156682		uc007bfw.2	Ndufs1
ENSMUST00000188370.6	chr1	-	63163838	63176690	63163838	63170909	A0A087WP77	uc287irp.1	Ndufs1
ENSMUST00000168099.8	chr1	-	63143734	63176732	63143830	63170909	Q91VD9	uc007bfv.3	Ndufs1
ENSMUST00000185412.6	chr1	-	63169252	63176793	63169252	63170909	A0A087WR47	uc287irr.1	Ndufs1
ENSMUST00000027111.14	chr1	-	63143595	63176822	63143830	63170909	Q91VD9	uc007bfu.3	Ndufs1
ENSMUST00000189664.1	chr1	-	63170852	63176833	63170852	63170909	A0A087WRY4	uc287irs.1	Ndufs1
ENSMUST00000148758.7	chr1	+	63730640	63737847	63730640	63730640		uc287ite.1	Fastkd2
ENSMUST00000131478.1	chr1	+	63737713	63748057	63737713	63737713		uc287itg.1	Fastkd2
ENSMUST00000123945.1	chr1	+	63748020	63750276	63748020	63748020		uc287ith.1	Fastkd2
ENSMUST00000134454.1	chr1	+	63751220	63752465	63751220	63751220		uc287iti.1	Fastkd2
ENSMUST00000128621.7	chr1	+	63730642	63752538	63730642	63730642		uc287itf.1	Fastkd2
ENSMUST00000027103.6	chr1	+	63730613	63754655	63731486	63752404	Q922E6	uc007bgl.3	Fastkd2
ENSMUST00000122813.1	chr1	-	64683347	64690608	64683347	64683347		uc287iue.1	2810408I11Rik
ENSMUST00000186325.1	chr1	-	64689123	64690628	64689123	64689123		uc287iuf.1	2810408I11Rik
ENSMUST00000150749.1	chr1	-	64679870	64690659	64679870	64679870		uc007bgw.3	2810408I11Rik
ENSMUST00000149310.7	chr1	-	65168588	65175564	65168588	65175352	D3YVY3	uc287ivd.1	Idh1
ENSMUST00000097709.10	chr1	-	65158615	65179181	65159464	65175352	O88844	uc007bhn.3	Idh1
ENSMUST00000188109.6	chr1	-	65166198	65186438	65166198	65175352	A0A087WRS9	uc287ivb.1	Idh1
ENSMUST00000186222.6	chr1	-	65171119	65186459	65171119	65175352	A0A087WRM4	uc287ive.1	Idh1
ENSMUST00000169032.7	chr1	-	65158617	65186479	65159464	65175352	O88844	uc011wmj.2	Idh1
ENSMUST00000191459.1	chr1	-	65175295	65186479	65175295	65175352	A0A087WNN7	uc287ivf.1	Idh1
ENSMUST00000188876.6	chr1	-	65166243	65186500	65166243	65175352	A0A087WPT4	uc287ivc.1	Idh1
ENSMUST00000027393.7	chr1	-	71027497	71103146	71030519	71102807	O70445	uc007bjm.3	Bard1
ENSMUST00000187982.1	chr1	+	71557178	71559951	71557178	71557178		uc287jab.1	Atic
ENSMUST00000148077.7	chr1	+	71557178	71563198	71557178	71557178		uc287jac.1	Atic
ENSMUST00000136443.1	chr1	+	71557212	71563198	71557212	71557212		uc287jae.1	Atic
ENSMUST00000154855.1	chr1	+	71568865	71572960	71568865	71568865		uc287jaf.1	Atic
ENSMUST00000155769.7	chr1	+	71557178	71573363	71557178	71557178		uc287jad.1	Atic
ENSMUST00000027384.5	chr1	+	71557149	71579631	71557255	71578671	Q9CWJ9	uc007bjt.3	Atic
ENSMUST00000141783.1	chr1	+	72284394	72300773	72297907	72300773	D3YUR6	uc287jbj.1	Tmem169
ENSMUST00000027380.11	chr1	+	72284368	72303104	72297907	72301306	Q8BG50	uc007bkk.2	Tmem169
ENSMUST00000027379.9	chr1	+	72307426	72394952	72307546	72394722	P27641	uc007bkl.4	Xrcc5
ENSMUST00000188012.6	chr1	-	74439126	74467574	74439126	74439126		uc287jev.1	Usp37
ENSMUST00000191058.6	chr1	-	74449501	74505785	74449501	74449501		uc287jew.1	Usp37
ENSMUST00000190592.1	chr1	-	74499871	74505791	74499871	74499871		uc287jey.1	Usp37
ENSMUST00000044260.10	chr1	-	74435510	74505803	74439390	74495785	Q8C0R0	uc007bmc.4	Usp37
ENSMUST00000186282.6	chr1	-	74495717	74505806	74495717	74495785	A0A087WQE4	uc287jex.1	Usp37
ENSMUST00000187590.1	chr1	-	74499955	74506283	74499955	74499955		uc287jez.1	Usp37
ENSMUST00000137100.1	chr1	+	74506059	74527087	74506059	74506059		uc287jfb.1	Cnot9
ENSMUST00000147810.1	chr1	+	74523526	74528177	74523526	74523526		uc287jfc.1	Cnot9
ENSMUST00000087215.6	chr1	+	74506057	74530842	74506437	74528854	Q9JKY0	uc007bmf.3	Cnot9
ENSMUST00000189257.6	chr1	-	74437729	74544284	74439390	74495785	A0A0R4J2D0	uc007bmd.3	Usp37
ENSMUST00000186971.1	chr1	-	75215955	75217414	75216424	75217414	A0A087WQS4	uc287jjr.1	Tuba4a
ENSMUST00000188593.1	chr1	-	75215611	75217434	75216588	75217434	A0A087WS35	uc287jjq.1	Tuba4a
ENSMUST00000079464.12	chr1	-	75214971	75218624	75215621	75218624	A0A0A0MQA5	uc287jjp.1	Tuba4a
ENSMUST00000190717.6	chr1	-	75216888	75218888	75216888	75217392	A0A087WSL5	uc287jju.1	Tuba4a
ENSMUST00000189131.1	chr1	-	75216912	75218888	75216912	75217392	A0A087WSB0	uc287jjv.1	Tuba4a
ENSMUST00000187103.1	chr1	-	75216434	75219243	75216434	75216434		uc287jjs.1	Tuba4a
ENSMUST00000186213.6	chr1	-	75214227	75219294	75215621	75219195	P68368	uc007bok.3	Tuba4a
ENSMUST00000186758.6	chr1	-	75216856	75219865	75216856	75217392	A0A087WRB4	uc287jjt.1	Tuba4a
ENSMUST00000188628.1	chr1	+	75237074	75237524	75237074	75237074		uc287jkb.1	Dnajb2
ENSMUST00000186600.1	chr1	+	75236771	75237681	75236771	75236771		uc287jka.1	Dnajb2
ENSMUST00000185654.2	chr1	+	75236613	75239333	75236883	75239333	A0A087WR37	uc287jjz.1	Dnajb2
ENSMUST00000190379.1	chr1	+	75238923	75240921	75238923	75238923		uc287jkc.1	Dnajb2
ENSMUST00000055223.13	chr1	+	75236464	75244804	75236883	75244804	Q9QYI5	uc287jjx.1	Dnajb2
ENSMUST00000082158.12	chr1	+	75236464	75244804	75236883	75244804	Q9QYI5	uc011wnm.2	Dnajb2
