#mm10.knownGene.name	mm10.knownGene.chrom	mm10.knownGene.strand	mm10.knownGene.txStart	mm10.knownGene.txEnd	mm10.knownGene.alignID	mm10.kgXref.kgID	mm10.kgXref.mRNA	mm10.kgXref.spID	mm10.kgXref.spDisplayID	mm10.kgXref.geneSymbol	mm10.kgXref.refseq	mm10.kgXref.protAcc	mm10.kgXref.description	mm10.kgXref.tRnaName
ENSMUST00000056946.7	chr1	-	36264596	36273435	uc007aps.2	ENSMUST00000056946.7	NM_153408	Q8CJC5	NEUL3_MOUSE	Neurl3	NM_153408	NM_153408	Mus musculus neuralized E3 ubiquitin protein ligase 3 (Neurl3), mRNA. (from RefSeq NM_153408)	
ENSMUST00000188666.2	chr1	-	36268860	36274679	uc007apt.2	ENSMUST00000188666.2	AK040949	A0A087WP78		Neurl3			Neurl3 (from geneSymbol)	
ENSMUST00000142145.1	chr1	+	45795502	45802355	uc287hvo.1	ENSMUST00000142145.1	BC117881			Wdr75			Wdr75 (from geneSymbol)	
ENSMUST00000147308.1	chr1	+	45795506	45803929	uc287hvp.1	ENSMUST00000147308.1	BC117881	D3Z504	D3Z504_MOUSE	Wdr75			The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt D3Z504)	
ENSMUST00000146602.1	chr1	+	45803685	45805447	uc287hvr.1	ENSMUST00000146602.1	AK010772			Wdr75			Wdr75 (from geneSymbol)	
ENSMUST00000186308.1	chr1	+	45822264	45823513	uc287hvt.1	ENSMUST00000186308.1	BC049925			Wdr75			Wdr75 (from geneSymbol)	
ENSMUST00000143737.7	chr1	+	45801988	45823515	uc287hvq.1	ENSMUST00000143737.7	BC117880			Wdr75			Wdr75 (from geneSymbol)	
ENSMUST00000154436.7	chr1	+	45795448	45823604	uc287hvn.1	ENSMUST00000154436.7	AK004869			Wdr75			Wdr75 (from geneSymbol)	
ENSMUST00000186651.1	chr1	+	45822557	45823616	uc287hvu.1	ENSMUST00000186651.1	BC049925	A0A087WQ22		Wdr75			Wdr75 (from geneSymbol)	
ENSMUST00000027139.14	chr1	+	45795165	45823619	uc007awt.2	ENSMUST00000027139.14	NM_028599	Q3U821	Q3U821_MOUSE	Wdr75	NM_028599	NM_028599	Mus musculus WD repeat domain 75 (Wdr75), mRNA. (from RefSeq NM_028599)	
ENSMUST00000135662.7	chr1	+	45814677	45823619	uc287hvs.1	ENSMUST00000135662.7	BC049925			Wdr75			Wdr75 (from geneSymbol)	
ENSMUST00000188252.6	chr1	-	45918927	45923309	uc287hwa.1	ENSMUST00000188252.6	AF215637			Slc40a1			Slc40a1 (from geneSymbol)	
ENSMUST00000186822.1	chr1	-	45918935	45925262	uc287hwb.1	ENSMUST00000186822.1	AF215637			Slc40a1			Slc40a1 (from geneSymbol)	
ENSMUST00000027137.10	chr1	-	45908067	45925582	uc007awu.2	ENSMUST00000027137.10	NM_016917	Q9JHI9	S40A1_MOUSE	Slc40a1	NM_016917	NM_016917	Mus musculus solute carrier family 40 (iron-regulated transporter), member 1 (Slc40a1), mRNA. (from RefSeq NM_016917)	
ENSMUST00000191247.6	chr1	-	45915240	45925609	uc007awv.2	ENSMUST00000191247.6	AK033987			Slc40a1			Slc40a1 (from geneSymbol)	
ENSMUST00000186804.1	chr1	-	45921216	45926519	uc287hwc.1	ENSMUST00000186804.1	FJ207422	C5H8V4	C5H8V4_MOUSE	Slc40a1			Slc40a1 (from geneSymbol)	
ENSMUST00000187406.6	chr1	-	45921216	45926519	uc287hwd.1	ENSMUST00000187406.6	FJ207423	C5H8V4	C5H8V4_MOUSE	Slc40a1			Slc40a1 (from geneSymbol)	
ENSMUST00000187420.6	chr1	-	45921216	45926519	uc287hwe.1	ENSMUST00000187420.6	FJ207421	C5H8V4	C5H8V4_MOUSE	Slc40a1			Slc40a1 (from geneSymbol)	
ENSMUST00000186755.1	chr1	-	45923731	45926523	uc287hwf.1	ENSMUST00000186755.1	AK165333			Slc40a1			Slc40a1 (from geneSymbol)	
ENSMUST00000141226.2	chr1	-	46817601	46835899	uc287hwu.1	ENSMUST00000141226.2	AK136117			Slc39a10			Slc39a10 (from geneSymbol)	
ENSMUST00000027131.5	chr1	-	46807543	46854046	uc007axc.2	ENSMUST00000027131.5	NM_172653	Q6P5F6	S39AA_MOUSE	Slc39a10	NM_172653	NM_172653	Mus musculus solute carrier family 39 (zinc transporter), member 10 (Slc39a10), transcript variant 1, mRNA. (from RefSeq NM_172653)	
ENSMUST00000185520.1	chr1	-	46835737	46888070	uc287hww.1	ENSMUST00000185520.1	BC052880	A0A087WRC8		Slc39a10			Slc39a10 (from geneSymbol)	
ENSMUST00000186852.1	chr1	-	46835639	46892852	uc287hwv.1	ENSMUST00000186852.1	BC052880	A0A087WQF7		Slc39a10			Slc39a10 (from geneSymbol)	
ENSMUST00000186103.6	chr1	+	50900646	50913925	uc007axh.1	ENSMUST00000186103.6	AK020188			Tmeff2			Tmeff2 (from geneSymbol)	
ENSMUST00000139157.7	chr1	+	50900646	50915430	uc287hye.1	ENSMUST00000139157.7	AK020188			Tmeff2			Tmeff2 (from geneSymbol)	
ENSMUST00000114565.7	chr1	+	50909961	50979920	uc007axi.2	ENSMUST00000114565.7	AK030053	A0A0R4J1J9		Tmeff2			Tmeff2 (from geneSymbol)	
ENSMUST00000081851.3	chr1	+	50927518	51187270	uc007axj.2	ENSMUST00000081851.3	NM_019790	Q9QYM9	TEFF2_MOUSE	Tmeff2	NM_019790	NM_019790	Mus musculus transmembrane protein with EGF-like and two follistatin-like domains 2 (Tmeff2), mRNA. (from RefSeq NM_019790)	
ENSMUST00000191076.1	chr1	+	52645180	52650027	uc287ibc.1	ENSMUST00000191076.1	BC028796			Nemp2			Nemp2 (from geneSymbol)	
ENSMUST00000185483.6	chr1	+	52630746	52650636	uc287iay.1	ENSMUST00000185483.6	AK036693	Q8CB65	T194B_MOUSE	Nemp2			Membrane; Multi-pass membrane protein  (Potential). (from UniProt Q8CB65)	
ENSMUST00000190452.6	chr1	+	52641983	52650656	uc287ibb.1	ENSMUST00000190452.6	AK136177			Nemp2			Nemp2 (from geneSymbol)	
ENSMUST00000185790.6	chr1	+	52630796	52650702	uc287iaz.1	ENSMUST00000185790.6	AK086801	A0A087WQU8		Nemp2			Nemp2 (from geneSymbol)	
ENSMUST00000190108.6	chr1	+	52630751	52650729	uc029qol.2	ENSMUST00000190108.6	AK170577			Nemp2			Nemp2 (from geneSymbol)	
ENSMUST00000165859.7	chr1	+	52630702	52651919	uc011wkp.2	ENSMUST00000165859.7	NR_024590	Q8CB65	T194B_MOUSE	Nemp2	NR_024590	NR_024590	Mus musculus nuclear envelope integral membrane protein 2 (Nemp2), transcript variant 2, non-coding RNA. (from RefSeq NR_024590)	
ENSMUST00000188507.6	chr1	+	52630736	52651919	uc287iax.1	ENSMUST00000188507.6	AK030361	A0A087WQD9		Nemp2			Nemp2 (from geneSymbol)	
ENSMUST00000186903.6	chr1	+	52641515	52651919	uc287iba.1	ENSMUST00000186903.6	BC094370			Nemp2			Nemp2 (from geneSymbol)	
ENSMUST00000159607.1	chr1	-	52790055	52795048	uc287ibk.1	ENSMUST00000159607.1	BC025072			Inpp1			Inpp1 (from geneSymbol)	
ENSMUST00000177279.7	chr1	-	52789667	52799488	uc287ibj.1	ENSMUST00000177279.7	BC025072	H3BK26	H3BK26_MOUSE	Inpp1			The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt H3BK26)	
ENSMUST00000159725.1	chr1	-	52797065	52800371	uc287ibn.1	ENSMUST00000159725.1	BC025072	E0CYQ4	E0CYQ4_MOUSE	Inpp1			The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt E0CYQ4)	
ENSMUST00000162351.1	chr1	-	52796978	52817451	uc287ibm.1	ENSMUST00000162351.1	U27295			Inpp1			Inpp1 (from geneSymbol)	
ENSMUST00000162576.7	chr1	-	52794664	52817568	uc287ibl.1	ENSMUST00000162576.7	AK078382	E0CX64	E0CX64_MOUSE	Inpp1			The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt E0CX64)	
ENSMUST00000027271.8	chr1	-	52785426	52817688	uc007ayo.4	ENSMUST00000027271.8	NM_008384	P49442	INPP_MOUSE	Inpp1	NM_008384	NM_008384	Mus musculus inositol polyphosphate-1-phosphatase (Inpp1), mRNA. (from RefSeq NM_008384)	
ENSMUST00000187255.1	chr1	+	57377639	57380078	uc287igg.1	ENSMUST00000187255.1	AK006906			1700066M21Rik			1700066M21Rik (from geneSymbol)	
ENSMUST00000185952.1	chr1	+	57377632	57380162	uc287igf.1	ENSMUST00000185952.1	AK006906			1700066M21Rik			1700066M21Rik (from geneSymbol)	
ENSMUST00000042734.2	chr1	+	57377619	57385423	uc007bay.3	ENSMUST00000042734.2	NM_028546	Q9D9H8	CB069_MOUSE	1700066M21Rik	NM_028546	NM_028546	Mus musculus RIKEN cDNA 1700066M21 gene (1700066M21Rik), mRNA. (from RefSeq NM_028546)	
ENSMUST00000168895.1	chr1	+	57774916	57799580	uc287ihg.1	ENSMUST00000168895.1	AK020712			Spats2l			Spats2l (from geneSymbol)	
ENSMUST00000163922.1	chr1	+	57774418	57800438	uc287igz.1	ENSMUST00000163922.1	AK020712			Spats2l			Spats2l (from geneSymbol)	
ENSMUST00000165235.1	chr1	+	57774911	57832306	uc287ihf.1	ENSMUST00000165235.1	AK012791			Spats2l			Spats2l (from geneSymbol)	
ENSMUST00000168016.7	chr1	+	57774889	57857541	uc287ihe.1	ENSMUST00000168016.7	AK161988			Spats2l			Spats2l (from geneSymbol)	
ENSMUST00000168905.7	chr1	+	57774248	57879723	uc287igw.1	ENSMUST00000168905.7	AK012791			Spats2l			Spats2l (from geneSymbol)	
ENSMUST00000172287.7	chr1	+	57774161	57885768	uc287igv.1	ENSMUST00000172287.7	AK031266	E9Q1C3	E9Q1C3_MOUSE	Spats2l			The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt E9Q1C3)	
ENSMUST00000167971.7	chr1	+	57774599	57885836	uc287iha.1	ENSMUST00000167971.7	AK031266	E9Q8P1	E9Q8P1_MOUSE	Spats2l			The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt E9Q8P1)	
ENSMUST00000172068.7	chr1	+	57774300	57902109	uc287igx.1	ENSMUST00000172068.7	AK031266	E9Q106	E9Q106_MOUSE	Spats2l			The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt E9Q106)	
ENSMUST00000171699.7	chr1	+	57774743	57938021	uc287ihc.1	ENSMUST00000171699.7	AK031266	E9Q5S6	E9Q5S6_MOUSE	Spats2l			The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt E9Q5S6)	
ENSMUST00000164353.2	chr1	+	57902070	57938021	uc287ihh.1	ENSMUST00000164353.2	BC014764			Spats2l			Spats2l (from geneSymbol)	
ENSMUST00000163239.7	chr1	+	57774364	57946964	uc287igy.1	ENSMUST00000163239.7	BC021879	E9Q7S4	E9Q7S4_MOUSE	Spats2l			The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt E9Q7S4)	
ENSMUST00000170139.7	chr1	+	57774734	57946965	uc287ihb.1	ENSMUST00000170139.7	BC021879	Q91WJ7	SPS2L_MOUSE	Spats2l			Cytoplasm (By similarity). Nucleus,  nucleolus (By similarity). (from UniProt Q91WJ7)	
ENSMUST00000164302.7	chr1	+	57774754	57946965	uc287ihd.1	ENSMUST00000164302.7	BC021879	E9PZE9	E9PZE9_MOUSE	Spats2l			The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt E9PZE9)	
ENSMUST00000169772.2	chr1	+	57845570	57946965	uc007bbe.3	ENSMUST00000169772.2	NM_001164566	Q91WJ7	SPS2L_MOUSE	Spats2l	NM_001164566	NM_001164566	Mus musculus spermatogenesis associated, serine-rich 2-like (Spats2l), transcript variant 2, mRNA. (from RefSeq NM_001164566)	
ENSMUST00000167085.7	chr1	+	57774860	57948394	uc007bbd.3	ENSMUST00000167085.7	NM_144882	E9PVQ3	E9PVQ3_MOUSE	Spats2l	NM_144882	NM_144882	Mus musculus spermatogenesis associated, serine-rich 2-like (Spats2l), transcript variant 1, mRNA. (from RefSeq NM_144882)	
ENSMUST00000188898.6	chr1	+	58393123	58403004	uc287iif.1	ENSMUST00000188898.6	AK168158	A0A087WPF9		Bzw1			Bzw1 (from geneSymbol)	
ENSMUST00000186949.1	chr1	+	58393469	58405131	uc287iih.1	ENSMUST00000186949.1	AK153538	A0A087WQS2		Bzw1			Bzw1 (from geneSymbol)	
ENSMUST00000188630.6	chr1	+	58393131	58405487	uc287iig.1	ENSMUST00000188630.6	AK167982	A0A087WS48		Bzw1			Bzw1 (from geneSymbol)	
ENSMUST00000050552.14	chr1	+	58392897	58407353	uc007bbr.2	ENSMUST00000050552.14	NM_025824	Q9CQC6	BZW1_MOUSE	Bzw1	NM_025824	NM_025824	Mus musculus basic leucine zipper and W2 domains 1 (Bzw1), mRNA. (from RefSeq NM_025824)	
ENSMUST00000188469.1	chr1	-	59216343	59219126	uc056ycy.1	ENSMUST00000188469.1	AK036019			Als2			Als2 (from geneSymbol)	
ENSMUST00000163058.1	chr1	-	59164057	59237093	uc011wlp.2	ENSMUST00000163058.1	NM_001159948	Q920R0	ALS2_MOUSE	Als2	NM_001159948	NM_001159948	Mus musculus alsin Rho guanine nucleotide exchange factor (Als2), transcript variant 3, mRNA. (from RefSeq NM_001159948)	
ENSMUST00000160945.1	chr1	-	59215650	59237226	uc287iln.1	ENSMUST00000160945.1	AB053307	A0A087WSC7		Als2			Als2 (from geneSymbol)	
ENSMUST00000027178.12	chr1	-	59162925	59237231	uc007bdm.3	ENSMUST00000027178.12	NM_028717	Q920R0	ALS2_MOUSE	Als2	NM_028717	NM_028717	Mus musculus alsin Rho guanine nucleotide exchange factor (Als2), transcript variant 1, mRNA. (from RefSeq NM_028717)	
ENSMUST00000159166.7	chr1	-	59191608	59237231	uc007bdn.4	ENSMUST00000159166.7	BC031479			Als2			Als2 (from geneSymbol)	
ENSMUST00000149310.7	chr1	-	65168588	65175564	uc287ivd.1	ENSMUST00000149310.7	AF020039	D3YVY3	D3YVY3_MOUSE	Idh1			Belongs to the isocitrate and isopropylmalate  dehydrogenases family. (from UniProt D3YVY3)	
ENSMUST00000097709.10	chr1	-	65158615	65179181	uc007bhn.3	ENSMUST00000097709.10	NM_010497	O88844	IDHC_MOUSE	Idh1	NM_010497	NM_010497	Mus musculus isocitrate dehydrogenase 1 (NADP+), soluble (Idh1), transcript variant 2, mRNA. (from RefSeq NM_010497)	
ENSMUST00000188109.6	chr1	-	65166198	65186438	uc287ivb.1	ENSMUST00000188109.6	AF020039	A0A087WRS9		Idh1			Idh1 (from geneSymbol)	
ENSMUST00000186222.6	chr1	-	65171119	65186459	uc287ive.1	ENSMUST00000186222.6	AF020039	A0A087WRM4		Idh1			Idh1 (from geneSymbol)	
ENSMUST00000169032.7	chr1	-	65158617	65186479	uc011wmj.2	ENSMUST00000169032.7	NM_001111320	O88844	IDHC_MOUSE	Idh1	NM_001111320	NM_001111320	Mus musculus isocitrate dehydrogenase 1 (NADP+), soluble (Idh1), transcript variant 1, mRNA. (from RefSeq NM_001111320)	
ENSMUST00000191459.1	chr1	-	65175295	65186479	uc287ivf.1	ENSMUST00000191459.1	AK087063	A0A087WNN7		Idh1			Idh1 (from geneSymbol)	
ENSMUST00000188876.6	chr1	-	65166243	65186500	uc287ivc.1	ENSMUST00000188876.6	AF020039	A0A087WPT4		Idh1			Idh1 (from geneSymbol)	
ENSMUST00000027379.9	chr1	+	72307426	72394952	uc007bkl.4	ENSMUST00000027379.9	NM_009533	P27641	XRCC5_MOUSE	Xrcc5	NM_009533	NM_009533	Mus musculus X-ray repair complementing defective repair in Chinese hamster cells 5 (Xrcc5), transcript variant 1, mRNA. (from RefSeq NM_009533)	
ENSMUST00000186971.1	chr1	-	75215955	75217414	uc287jjr.1	ENSMUST00000186971.1	M13444	A0A087WQS4		Tuba4a			Tuba4a (from geneSymbol)	
ENSMUST00000188593.1	chr1	-	75215611	75217434	uc287jjq.1	ENSMUST00000188593.1	M13444	A0A087WS35		Tuba4a			Tuba4a (from geneSymbol)	
ENSMUST00000079464.12	chr1	-	75214971	75218624	uc287jjp.1	ENSMUST00000079464.12	AK158934	A0A0A0MQA5		Tuba4a			Tuba4a (from geneSymbol)	
ENSMUST00000190717.6	chr1	-	75216888	75218888	uc287jju.1	ENSMUST00000190717.6	M13444	A0A087WSL5		Tuba4a			Tuba4a (from geneSymbol)	
ENSMUST00000189131.1	chr1	-	75216912	75218888	uc287jjv.1	ENSMUST00000189131.1	M13444	A0A087WSB0		Tuba4a			Tuba4a (from geneSymbol)	
ENSMUST00000187103.1	chr1	-	75216434	75219243	uc287jjs.1	ENSMUST00000187103.1	AK002427			Tuba4a			Tuba4a (from geneSymbol)	
ENSMUST00000186213.6	chr1	-	75214227	75219294	uc007bok.3	ENSMUST00000186213.6	NM_009447	P68368	TBA4A_MOUSE	Tuba4a	NM_009447	NM_009447	Mus musculus tubulin, alpha 4A (Tuba4a), transcript variant 1, mRNA. (from RefSeq NM_009447)	
ENSMUST00000186758.6	chr1	-	75216856	75219865	uc287jjt.1	ENSMUST00000186758.6	M13444	A0A087WRB4		Tuba4a			Tuba4a (from geneSymbol)	
ENSMUST00000188628.1	chr1	+	75237074	75237524	uc287jkb.1	ENSMUST00000188628.1	AB028858			Dnajb2			Dnajb2 (from geneSymbol)	
ENSMUST00000186600.1	chr1	+	75236771	75237681	uc287jka.1	ENSMUST00000186600.1	BC085162			Dnajb2			Dnajb2 (from geneSymbol)	
ENSMUST00000185654.2	chr1	+	75236613	75239333	uc287jjz.1	ENSMUST00000185654.2	BC085162	A0A087WR37		Dnajb2			Dnajb2 (from geneSymbol)	
ENSMUST00000190379.1	chr1	+	75238923	75240921	uc287jkc.1	ENSMUST00000190379.1	BC085162			Dnajb2			Dnajb2 (from geneSymbol)	
ENSMUST00000055223.13	chr1	+	75236464	75244804	uc287jjx.1	ENSMUST00000055223.13	BC085162	Q9QYI5	DNJB2_MOUSE	Dnajb2			  Event=Alternative splicing; Named isoforms=2;  Name=1;    IsoId=Q9QYI5-1; Sequence=Displayed;  Name=2;    IsoId=Q9QYI5-2; Sequence=VSP_031650; (from UniProt Q9QYI5)	
ENSMUST00000082158.12	chr1	+	75236464	75244804	uc011wnm.2	ENSMUST00000082158.12	NM_001159885	Q9QYI5	DNJB2_MOUSE	Dnajb2	NM_001159885	NM_001159885	Mus musculus DnaJ heat shock protein family (Hsp40) member B2 (Dnajb2), transcript variant 5, mRNA. (from RefSeq NM_001159885)	
ENSMUST00000190445.1	chr1	+	75241408	75244927	uc287jkd.1	ENSMUST00000190445.1	AK171494	A0A087WP03		Dnajb2			Dnajb2 (from geneSymbol)	
ENSMUST00000185403.6	chr1	+	75236512	75245055	uc287jjy.1	ENSMUST00000185403.6	AK076061	A0A087WPZ9		Dnajb2			Dnajb2 (from geneSymbol)	
ENSMUST00000188931.6	chr1	+	75236405	75245688	uc007bon.3	ENSMUST00000188931.6	NM_001159883	Q9QYI5	DNJB2_MOUSE	Dnajb2	NM_001159883	NM_001159883	Mus musculus DnaJ heat shock protein family (Hsp40) member B2 (Dnajb2), transcript variant 3, mRNA. (from RefSeq NM_001159883)	
ENSMUST00000188290.6	chr1	+	75236486	75245690	uc007boo.3	ENSMUST00000188290.6	NM_178055	Q9QYI5	DNJB2_MOUSE	Dnajb2	NM_178055	NM_178055	Mus musculus DnaJ heat shock protein family (Hsp40) member B2 (Dnajb2), transcript variant 2, mRNA. (from RefSeq NM_178055)	
ENSMUST00000187058.6	chr1	+	75236555	75245690	uc007bop.3	ENSMUST00000187058.6	NM_020266	Q9QYI5	DNJB2_MOUSE	Dnajb2	NM_020266	NM_020266	Mus musculus DnaJ heat shock protein family (Hsp40) member B2 (Dnajb2), transcript variant 1, mRNA. (from RefSeq NM_020266)	
ENSMUST00000188346.6	chr1	+	75236468	75245692	uc007bom.3	ENSMUST00000188346.6	NM_001159884	Q9QYI5	DNJB2_MOUSE	Dnajb2	NM_001159884	NM_001159884	Mus musculus DnaJ heat shock protein family (Hsp40) member B2 (Dnajb2), transcript variant 4, mRNA. (from RefSeq NM_001159884)	
ENSMUST00000187214.1	chr1	+	75382125	75383382	uc287jlc.1	ENSMUST00000187214.1	AK164360			Speg			Speg (from geneSymbol)	
ENSMUST00000146705.1	chr1	+	75383555	75384975	uc287jle.1	ENSMUST00000146705.1	AK164360			Speg			Speg (from geneSymbol)	
ENSMUST00000125306.1	chr1	+	75382137	75387895	uc287jld.1	ENSMUST00000125306.1	AK164360	D6RI69	D6RI69_MOUSE	Speg			The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt D6RI69)	
ENSMUST00000125118.1	chr1	+	75384699	75387948	uc287jlf.1	ENSMUST00000125118.1	AK164360			Speg			Speg (from geneSymbol)	
ENSMUST00000148515.7	chr1	+	75382113	75388345	uc287jlb.1	ENSMUST00000148515.7	AK164360	D3Z7T0	D3Z7T0_MOUSE	Speg			The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt D3Z7T0)	
ENSMUST00000132222.1	chr1	+	75385511	75389104	uc287jlh.1	ENSMUST00000132222.1	AK147475			Speg			Speg (from geneSymbol)	
ENSMUST00000132228.1	chr1	+	75384827	75391923	uc287jlg.1	ENSMUST00000132228.1	AK164360	F6RU40	F6RU40_MOUSE	Speg			The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt F6RU40)	
ENSMUST00000113589.7	chr1	+	75400084	75403990	uc011wnq.2	ENSMUST00000113589.7	NM_001173477	A0A0R4J1J0		Speg	NM_001173477	NM_001173477	Mus musculus SPEG complex locus (Speg), transcript variant 4, mRNA. (from RefSeq NM_001173477)	
ENSMUST00000122266.2	chr1	+	75401009	75404207	uc287jlm.1	ENSMUST00000122266.2	U57098	A0A0R4J1J0		Speg			Speg (from geneSymbol)	
ENSMUST00000113588.7	chr1	+	75400520	75404370	uc287jlk.1	ENSMUST00000113588.7	U57098	A0A0R4J1J0		Speg			Speg (from geneSymbol)	
ENSMUST00000113587.7	chr1	+	75400634	75404562	uc287jll.1	ENSMUST00000113587.7	U57098	A0A0R4J1J0		Speg			Speg (from geneSymbol)	
ENSMUST00000113590.7	chr1	+	75382113	75404563	uc007bpa.2	ENSMUST00000113590.7	NM_001085371	Q62407	SPEG_MOUSE	Speg	NM_001085371	NM_001085371	Mus musculus SPEG complex locus (Speg), transcript variant 3, mRNA. (from RefSeq NM_001085371)	
ENSMUST00000143679.1	chr1	+	75423509	75427623	uc287jln.1	ENSMUST00000143679.1	AK035543			Speg			Speg (from geneSymbol)	
ENSMUST00000137868.7	chr1	+	75385609	75432304	uc287jli.1	ENSMUST00000137868.7	NM_001085370	A0A087WSE3		Speg	NM_001085370	NM_001085370	Mus musculus SPEG complex locus (Speg), transcript variant 2, mRNA. (from RefSeq NM_001085370)	
ENSMUST00000087122.11	chr1	+	75375296	75432320	uc007boz.3	ENSMUST00000087122.11	NM_007463	E9QQ25	E9QQ25_MOUSE	Speg	NM_007463	NM_007463	Mus musculus SPEG complex locus (Speg), transcript variant 1, mRNA. (from RefSeq NM_007463)	
