#mm10.knownGene.name	mm10.knownGene.chrom	mm10.knownGene.strand	mm10.knownGene.txStart	mm10.knownGene.txEnd	mm10.knownGene.cdsStart	mm10.knownGene.cdsEnd	mm10.knownGene.proteinID	mm10.knownGene.alignID	mm10.kgXref.geneSymbol
ENSMUST00000186600.1	chr1	+	75236771	75237681	75236771	75236771		uc287jka.1	Dnajb2
ENSMUST00000185654.2	chr1	+	75236613	75239333	75236883	75239333	A0A087WR37	uc287jjz.1	Dnajb2
ENSMUST00000190379.1	chr1	+	75238923	75240921	75238923	75238923		uc287jkc.1	Dnajb2
ENSMUST00000055223.13	chr1	+	75236464	75244804	75236883	75244804	Q9QYI5	uc287jjx.1	Dnajb2
ENSMUST00000082158.12	chr1	+	75236464	75244804	75236883	75244804	Q9QYI5	uc011wnm.2	Dnajb2
ENSMUST00000190445.1	chr1	+	75241408	75244927	75241408	75244490	A0A087WP03	uc287jkd.1	Dnajb2
ENSMUST00000185403.6	chr1	+	75236512	75245055	75236883	75239211	A0A087WPZ9	uc287jjy.1	Dnajb2
ENSMUST00000188931.6	chr1	+	75236405	75245688	75236883	75243813	Q9QYI5	uc007bon.3	Dnajb2
ENSMUST00000188290.6	chr1	+	75236486	75245690	75236883	75244804	Q9QYI5	uc007boo.3	Dnajb2
ENSMUST00000187058.6	chr1	+	75236555	75245690	75236883	75244804	Q9QYI5	uc007bop.3	Dnajb2
ENSMUST00000188346.6	chr1	+	75236468	75245692	75236883	75244804	Q9QYI5	uc007bom.3	Dnajb2
ENSMUST00000187214.1	chr1	+	75382125	75383382	75382125	75382125		uc287jlc.1	Speg
ENSMUST00000146705.1	chr1	+	75383555	75384975	75383555	75383555		uc287jle.1	Speg
ENSMUST00000125306.1	chr1	+	75382137	75387895	75382141	75384881	D6RI69	uc287jld.1	Speg
ENSMUST00000125118.1	chr1	+	75384699	75387948	75384699	75384699		uc287jlf.1	Speg
ENSMUST00000148515.7	chr1	+	75382113	75388345	75382141	75388345	D3Z7T0	uc287jlb.1	Speg
ENSMUST00000132222.1	chr1	+	75385511	75389104	75385511	75385511		uc287jlh.1	Speg
ENSMUST00000132228.1	chr1	+	75384827	75391923	75384827	75391039	F6RU40	uc287jlg.1	Speg
ENSMUST00000113589.7	chr1	+	75400084	75403990	75401161	75403784	A0A0R4J1J0	uc011wnq.2	Speg
ENSMUST00000122266.2	chr1	+	75401009	75404207	75401161	75403784	A0A0R4J1J0	uc287jlm.1	Speg
ENSMUST00000113588.7	chr1	+	75400520	75404370	75401161	75403784	A0A0R4J1J0	uc287jlk.1	Speg
ENSMUST00000113587.7	chr1	+	75400634	75404562	75401161	75403784	A0A0R4J1J0	uc287jll.1	Speg
ENSMUST00000113590.7	chr1	+	75382113	75404563	75382141	75403784	Q62407	uc007bpa.2	Speg
ENSMUST00000143679.1	chr1	+	75423509	75427623	75423509	75423509		uc287jln.1	Speg
ENSMUST00000137868.7	chr1	+	75385609	75432304	75385609	75431451	A0A087WSE3	uc287jli.1	Speg
ENSMUST00000087122.11	chr1	+	75375296	75432320	75375439	75431451	E9QQ25	uc007boz.3	Speg
ENSMUST00000189147.1	chr1	+	77515279	77517128	77515279	77515279		uc287jny.1	Gm28386
ENSMUST00000151622.1	chr1	+	78658439	78667584	78664386	78666729	E9Q9S3	uc011wnv.2	Utp14b
ENSMUST00000053760.11	chr1	+	78658037	78671512	78664386	78666729	E9Q9S3	uc007bqn.3	Utp14b
ENSMUST00000189234.1	chr1	+	86064640	86067662	86064640	86064640		uc287jza.1	Psmd1
ENSMUST00000147807.7	chr1	+	86064386	86070776	86064386	86064386		uc287jyx.1	Psmd1
ENSMUST00000143200.7	chr1	+	86064386	86071660	86064386	86064386		uc287jyy.1	Psmd1
ENSMUST00000133480.7	chr1	+	86064691	86072284	86064691	86064691		uc287jzb.1	Psmd1
ENSMUST00000127104.1	chr1	+	86064870	86075819	86064870	86064870		uc287jzc.1	Psmd1
ENSMUST00000139715.7	chr1	+	86064618	86132749	86064789	86075811	D6RGR5	uc287jyz.1	Psmd1
ENSMUST00000149946.1	chr1	+	86127866	86132767	86127866	86127866		uc287jzh.1	Psmd1
ENSMUST00000152184.1	chr1	+	86110816	86132800	86110816	86110816		uc287jzf.1	Psmd1
ENSMUST00000027432.8	chr1	+	86064618	86139151	86064789	86137109	Q3TXS7	uc007buy.2	Psmd1
ENSMUST00000070048.3	chr1	+	90675160	90679793	90675160	90675160		uc287kif.1	Gm9991
ENSMUST00000145843.2	chr1	+	91299931	91302869	91300537	91302869	D3Z3I6	uc287kjv.1	Scly
ENSMUST00000123651.7	chr1	+	91298359	91303511	91298359	91298359		uc287kjo.1	Scly
ENSMUST00000142802.1	chr1	+	91298426	91305436	91298426	91298426		uc287kju.1	Scly
ENSMUST00000124832.7	chr1	+	91298403	91308709	91298403	91308709	F7BB44	uc287kjs.1	Scly
ENSMUST00000142488.7	chr1	+	91298367	91308743	91298395	91308743	D3Z7G6	uc287kjp.1	Scly
ENSMUST00000147523.7	chr1	+	91298406	91308815	91298406	91308815	F6ZFP8	uc287kjt.1	Scly
ENSMUST00000154045.7	chr1	+	91298368	91309851	91298395	91302792	M0QWF1	uc287kjq.1	Scly
ENSMUST00000137074.2	chr1	+	91302796	91309872	91302796	91309872	F7D651	uc287kjw.1	Scly
ENSMUST00000153621.7	chr1	+	91298369	91311330	91298369	91298369		uc287kjr.1	Scly
ENSMUST00000027532.12	chr1	+	91298337	91321075	91298395	91320230	A0A0R4J069	uc007caf.2	Scly
ENSMUST00000086861.11	chr1	+	91366429	91374217	91366480	91372476	Q6PGN1	uc007caj.1	Erfe
ENSMUST00000148355.1	chr1	-	93310084	93311344	93310084	93310084		uc287kop.1	Pask
ENSMUST00000133886.1	chr1	-	93309837	93313148	93309837	93309837		uc287koo.1	Pask
ENSMUST00000128655.7	chr1	-	93308769	93317413	93308769	93308769		uc007cdr.2	Pask
ENSMUST00000027493.3	chr1	-	93308777	93342789	93310091	93337531	Q8CEE6	uc007cdt.3	Pask
ENSMUST00000139028.1	chr1	-	93317827	93343465	93317827	93317827		uc007cdu.2	Pask
ENSMUST00000128253.1	chr1	-	93337448	93343482	93337448	93337531	D3YUI8	uc287koq.1	Pask
ENSMUST00000188394.1	chr1	+	93686262	93694070	93686446	93694070	A0A087WR00	uc287kpz.1	Bok
ENSMUST00000201863.3	chr1	+	93685701	93695210	93686446	93695162	Q3TH93	uc287kpy.1	Bok
ENSMUST00000185685.1	chr1	+	93693816	93695455	93693816	93693816		uc287kqb.1	Bok
ENSMUST00000200888.1	chr1	+	93689207	93695469	93689207	93695127	A0A0J9YUF0	uc287kqa.1	Bok
ENSMUST00000027499.12	chr1	+	93685659	93695764	93686446	93695162	Q3TH93	uc007cee.3	Bok
ENSMUST00000112893.1	chr1	-	93792723	93799001	93792832	93798535	D3Z3R3	uc287kqp.1	Dtymk
ENSMUST00000144106.1	chr1	-	93798379	93799361	93798379	93798379		uc007cel.2	Dtymk
ENSMUST00000112890.2	chr1	-	93800064	93801906	93800797	93801827	Q6GRA7	uc007cem.3	Dtymk
ENSMUST00000027503.13	chr1	-	93792575	93801934	93792832	93801827	P97930	uc007cek.2	Dtymk
ENSMUST00000189556.1	chr1	-	95618550	95667535	95627502	95667261	A0A087WRA0	uc007cfa.2	St8sia4
ENSMUST00000186853.1	chr1	-	95663953	95667565	95663953	95663953		uc287kro.1	St8sia4
ENSMUST00000187936.1	chr1	-	95658313	95667568	95658313	95658313		uc287krn.1	St8sia4
ENSMUST00000043336.10	chr1	-	95587681	95667571	95591681	95667261	Q64692	uc011wpu.2	St8sia4
ENSMUST00000054664.7	chr1	+	97024680	97025928	97024680	97024680		uc287kse.1	Gm6430
ENSMUST00000189999.1	chr1	-	106710338	106713179	106712280	106712880	Q6NTH7	uc011wqb.4	Bcl2
ENSMUST00000112751.1	chr1	-	106538177	106714274	106543263	106712880	P10417	uc007cgw.4	Bcl2
ENSMUST00000140490.7	chr1	-	120190756	120265255	120190756	120244259	D3YTP0	uc287lff.1	Steap3
ENSMUST00000112640.7	chr1	-	120226422	120265284	120227646	120244259	A0A0R4J1G9	uc007cji.2	Steap3
ENSMUST00000112639.7	chr1	-	120226631	120270423	120227646	120244259	A0A0R4J1G9	uc287lfg.1	Steap3
ENSMUST00000112641.7	chr1	-	120224385	120271082	120227646	120244259	A0A0R4J1G9	uc007cjj.2	Steap3
ENSMUST00000112643.1	chr1	-	120226652	120272705	120227646	120270230	E9QN92	uc287lfh.1	Steap3
ENSMUST00000055884.7	chr1	-	121509841	121528465	121510387	121528189	G3X9C6	uc011wqx.3	Htr5b
ENSMUST00000159359.1	chr1	+	125840002	125873173	125840002	125840002		uc287lio.1	Gpr39
ENSMUST00000027581.6	chr1	+	125676994	125873862	125677336	125872884	A0A0B4J1E4	uc007ckh.4	Gpr39
ENSMUST00000160736.1	chr1	-	125914318	125965200	125914318	125914318		uc287lir.1	Nckap5
ENSMUST00000094610.4	chr1	-	125914959	126023103	125940183	126023056	E2QRQ1	uc287lit.1	Nckap5
ENSMUST00000159934.1	chr1	-	126027876	126035125	126027876	126027876		uc287liv.1	Nckap5
ENSMUST00000057846.14	chr1	-	125914742	126448456	125914742	126448456	Q29SA9	uc287lis.1	Nckap5
ENSMUST00000162877.7	chr1	-	125913647	126492742	125915004	126448456	Q8C6S8	uc007ckl.2	Nckap5
ENSMUST00000161954.7	chr1	-	125913619	126492927	125914742	126448456	Q6NZK2	uc007ckk.2	Nckap5
ENSMUST00000162664.7	chr1	-	126525038	126738190	126525038	126525038		uc287lja.1	Nckap5
ENSMUST00000160693.1	chr1	-	126258400	126738202	126258400	126695754	E0CYQ5	uc287liy.1	Nckap5
ENSMUST00000162647.1	chr1	-	126527539	126830481	126527539	126527539		uc287ljb.1	Nckap5
ENSMUST00000094609.9	chr1	-	125913636	126830632	125915004	126695754	E9Q3G9	uc007ckn.2	Nckap5
ENSMUST00000112583.7	chr1	-	125913636	126830632	125914742	126695754	E9QAE1	uc007ckm.2	Nckap5
ENSMUST00000162646.7	chr1	-	126222626	126830799	126222626	126695754	E0CYS4	uc287lix.1	Nckap5
ENSMUST00000143389.1	chr1	-	127965130	127972958	127965130	127965130		uc287lkg.1	Zranb3
ENSMUST00000131732.1	chr1	-	127996852	128018693	127996852	127996852		uc287lkj.1	Zranb3
ENSMUST00000124876.1	chr1	-	128057855	128102454	128057855	128057855		uc287lkl.1	Zranb3
ENSMUST00000086614.11	chr1	-	127954183	128102462	127954966	128092003	Q6NZP1	uc007cld.3	Zranb3
ENSMUST00000127393.7	chr1	-	127996465	128102463	127996465	127996465		uc287lki.1	Zranb3
ENSMUST00000112538.3	chr1	-	127954669	128103001	127954966	128092003	Q6NZP1	uc007cle.3	Zranb3
ENSMUST00000097597.6	chr1	-	127987109	128103047	127987109	127987109		uc007clg.2	Zranb3
ENSMUST00000188755.1	chr1	-	128341022	128343463	128341022	128341022		uc287lll.1	Mcm6
ENSMUST00000191454.1	chr1	-	128339467	128346042	128339467	128339467		uc287llk.1	Mcm6
ENSMUST00000190495.1	chr1	-	128331592	128359647	128333480	128359565	Q3ULG5	uc007clo.3	Mcm6
ENSMUST00000027601.10	chr1	-	128331589	128359664	128331934	128359565	Q542I2	uc007cln.3	Mcm6
ENSMUST00000188575.6	chr1	+	132477490	132490501	132477508	132490501	A0A087WQU2	uc287lry.1	Rbbp5
ENSMUST00000189786.2	chr1	+	132477641	132490585	132484775	132490585	A0A087WRV7	uc287lrz.1	Rbbp5
ENSMUST00000187505.6	chr1	+	132477405	132504108	132490444	132503792	A0A087WST2	uc287lrw.1	Rbbp5
ENSMUST00000190825.6	chr1	+	132477364	132504490	132477508	132503792	A0A0R4J2B6	uc007cow.3	Rbbp5
ENSMUST00000190997.6	chr1	+	132477366	132504889	132477508	132503792	Q8BX09	uc007cox.3	Rbbp5
ENSMUST00000187834.1	chr1	+	132503732	132505655	132503732	132503732		uc287lsa.1	Rbbp5
ENSMUST00000027700.14	chr1	+	132477434	132505659	132490444	132503792	Q8BX09	uc287lrx.1	Rbbp5
ENSMUST00000191132.1	chr1	-	133253902	133254292	133253902	133253902		uc287ltl.1	Gm19461
ENSMUST00000186027.1	chr1	-	133254282	133256352	133254282	133254282		uc287ltm.1	Gm19461
ENSMUST00000186799.1	chr1	-	133251207	133257118	133251207	133251207		uc287ltk.1	Gm19461
ENSMUST00000189590.1	chr1	-	133256540	133258672	133256540	133256540		uc287ltn.1	Gm19461
ENSMUST00000191207.1	chr1	-	133250397	133269808	133250397	133250397		uc007cpw.3	Gm19461
ENSMUST00000189524.1	chr1	-	133680469	133690086	133680568	133688906	A0A087WQ47	uc287luz.1	Lax1
ENSMUST00000169295.7	chr1	-	133679090	133690108	133679777	133688906	Q8BHB3	uc007cqs.3	Lax1
ENSMUST00000130836.7	chr1	+	134406002	134407594	134406002	134406002		uc287lwo.1	Cyb5r1
ENSMUST00000174315.7	chr1	+	134405994	134407602	134405994	134405994		uc287lwn.1	Cyb5r1
ENSMUST00000127412.8	chr1	+	134406312	134407667	134406312	134406940	G3UZ57	uc287lwr.1	Cyb5r1
ENSMUST00000186489.6	chr1	+	134405558	134407990	134405558	134405558		uc287lwl.1	Cyb5r1
ENSMUST00000172496.7	chr1	+	134406019	134408866	134406019	134406019		uc287lwq.1	Cyb5r1
ENSMUST00000173908.7	chr1	+	134406003	134409665	134406038	134409665	G3UZG6	uc287lwp.1	Cyb5r1
ENSMUST00000133686.7	chr1	+	134406027	134409999	134406027	134406027		uc007crw.2	Cyb5r1
ENSMUST00000172795.1	chr1	+	134406312	134410969	134406312	134407138	G3UXV8	uc287lws.1	Cyb5r1
ENSMUST00000154237.7	chr1	+	134405780	134411736	134406038	134408028	Q9DB73	uc287lwm.1	Cyb5r1
ENSMUST00000027726.13	chr1	+	134405780	134411740	134406038	134411079	Q9DB73	uc007cru.2	Cyb5r1
ENSMUST00000187311.1	chr1	-	135452374	135453907	135452374	135452374		uc287lzz.1	Nav1
ENSMUST00000190735.1	chr1	-	135457781	135461189	135457781	135457781		uc287mab.1	Nav1
ENSMUST00000189252.1	chr1	-	135455315	135467673	135455315	135467673	A0A087WSM9	uc287maa.1	Nav1
ENSMUST00000189362.6	chr1	-	135457781	135510384	135457781	135457781		uc287mac.1	Nav1
ENSMUST00000190130.1	chr1	-	135458679	135510451	135458679	135458679		uc287mad.1	Nav1
ENSMUST00000040599.14	chr1	-	135434579	135585355	135441683	135585320	Q8CH77	uc287lzx.1	Nav1
ENSMUST00000067414.12	chr1	-	135434579	135585705	135441683	135585320	Q8CH77	uc033fll.2	Nav1
ENSMUST00000190298.7	chr1	-	135438847	135688105	135441683	135607871	Q8CH77	uc287lzy.2	Nav1
ENSMUST00000112103.1	chr1	-	135606446	135688105	135606446	135606446		uc007ctn.2	Nav1
ENSMUST00000136445.1	chr1	+	135767133	135768922	135767133	135767133		uc287mah.1	Phlda3
ENSMUST00000038945.5	chr1	+	135766118	135769136	135766448	135766826	Q9WV95	uc007ctq.3	Phlda3
ENSMUST00000185756.1	chr1	+	135830533	135832462	135830533	135830533		uc287map.1	Lad1
ENSMUST00000190773.6	chr1	+	135829994	135832707	135829994	135829994		uc287mao.1	Lad1
ENSMUST00000038760.9	chr1	+	135818597	135833342	135818978	135832317	P57016	uc007ctt.2	Lad1
ENSMUST00000165125.7	chr1	+	136008149	136034267	136018541	136034220	Q9CR23	uc011wsv.2	Tmem9
ENSMUST00000117950.1	chr1	+	136018061	136034292	136018541	136034220	Q9CR23	uc011wsw.2	Tmem9
ENSMUST00000118832.3	chr1	+	136026996	136034399	136026996	136026996		uc287mbk.1	Tmem9
ENSMUST00000140545.1	chr1	+	136033253	136034780	136033253	136033253		uc287mbl.1	Tmem9
ENSMUST00000063719.14	chr1	+	136017966	136035342	136018541	136034220	Q9CR23	uc007cue.3	Tmem9
ENSMUST00000153527.2	chr1	-	144001882	144004032	144002067	144004022	A0A087WRB0	uc287mir.1	Rgs2
ENSMUST00000134817.1	chr1	-	144002516	144004121	144002516	144002516		uc287mis.1	Rgs2
ENSMUST00000027606.3	chr1	-	144001679	144004135	144002947	144004118	A0A087WPY2	uc287miq.1	Rgs2
